StateCode,StateName,Year,notification_achievement_rate,presumptive_examination_rate,lab_tech_fill_rate,phc_doctor_fill_rate,stunting_pct
1,Jammu And Kashmir,2019,0.6448805460750853,864.0,0.039445628997852,0.4040207522697503,28.0
1,Jammu And Kashmir,2020,0.4864444444444444,956.0,0.1215139442231075,0.3635748138117806,28.0
1,Jammu And Kashmir,2021,0.769,1323.0,0.1604342581423401,0.374189364461738,28.0
1,Jammu And Kashmir,2022,0.7753793103448275,2206.0,0.1375515818431912,0.4068241469816273,28.0
2,Himachal Pradesh,2020,0.7317777777777777,1752.0,0.799163179916318,0.3476454293628809,29.15
2,Himachal Pradesh,2021,0.9533333333333334,2066.0,0.6174496644295302,0.1634304207119741,29.15
2,Himachal Pradesh,2022,0.9736363636363636,3968.0,0.6209150326797386,0.2304147465437788,29.15
3,Punjab,2019,0.8829538461538462,774.0,0.017825311942959,0.0226086956521739,24.8
3,Punjab,2020,0.6374027777777778,473.0,0.3160621761658031,0.3316239316239316,24.8
3,Punjab,2021,0.7013055555555555,449.0,0.2987164527421236,0.3426229508196721,24.8
3,Punjab,2022,0.7715571428571428,753.0,0.3066361556064073,0.3113673805601318,24.8
5,Uttarakhand,2019,0.8531666666666666,941.0,0.5367647058823529,0.4348739495798319,26.25
5,Uttarakhand,2020,0.6144375,520.0,0.5514705882352942,0.2731092436974789,26.25
5,Uttarakhand,2021,0.707,668.0,0.4715909090909091,0.2764423076923077,26.25
5,Uttarakhand,2022,0.97875,884.0,0.6086956521739131,0.2247191011235955,26.25
6,Haryana,2019,0.8521529411764706,1045.0,0.3345794392523364,0.2076023391812865,27.1
6,Haryana,2020,0.6629574468085107,692.0,0.4038748137108793,0.3590078328981723,27.1
6,Haryana,2021,0.725872340425532,737.0,0.4540466392318244,0.1933497536945813,27.1
6,Haryana,2022,0.7997659574468086,977.0,0.4796437659033079,0.2528445006321112,27.1
7,Delhi,2019,0.9613363636363635,1361.0,0.0,0.2857142857142857,28.65
7,Delhi,2020,0.7718454545454545,799.0,0.5,0.0526315789473684,28.65
7,Delhi,2021,0.9202181818181818,692.0,0.1428571428571428,0.1578947368421052,28.65
7,Delhi,2022,1.05256,1066.0,0.1428571428571428,0.1578947368421052,28.65
8,Rajasthan,2019,0.85855,832.0,0.3193096008629989,0.1481481481481481,30.450000000000003
8,Rajasthan,2020,0.6018977777777778,511.0,0.3243427791054967,0.1497695852534562,30.450000000000003
8,Rajasthan,2021,0.6525422222222222,607.0,0.3270218228498074,0.146975233455136,30.450000000000003
8,Rajasthan,2022,0.9349777777777778,1416.0,0.3254865034526051,0.1281427412814274,30.450000000000003
9,Uttar Pradesh,2019,0.8365930434782609,866.0,0.277027027027027,0.2947438456420492,37.15
9,Uttar Pradesh,2020,0.6031933333333334,482.0,0.2610114192495921,0.2288988261598658,37.15
9,Uttar Pradesh,2021,0.7443866666666666,495.0,0.3531675547661338,0.3046312949640288,37.15
9,Uttar Pradesh,2022,0.9420709090909092,801.0,0.3722334004024145,0.3502697841726618,37.15
10,Bihar,2020,0.5184684210526316,200.0,0.7091633466135459,0.577379510777428,40.35
10,Bihar,2021,0.6888631578947368,300.0,0.7739552066497345,0.3277739170720408,40.35
10,Bihar,2022,0.80103,298.0,0.4346201743462017,0.5721835883171071,40.35
11,Sikkim,2020,0.36,1611.0,0.0,0.2916666666666667,20.35
11,Sikkim,2021,0.7927272727272727,1952.0,0.0,0.0256410256410256,20.35
12,Arunachal Pradesh,2021,0.7488571428571429,1038.0,0.0,0.0,28.15
13,Nagaland,2019,0.5125,876.0,0.0,0.0,30.9
13,Nagaland,2020,0.4448,541.0,0.0,0.0,30.9
13,Nagaland,2021,0.7238,761.0,0.0,0.0,30.9
14,Manipur,2019,0.298,505.0,0.2647058823529412,0.1260504201680672,22.6
14,Manipur,2020,0.2671428571428571,191.0,0.0,0.0,22.6
14,Manipur,2021,0.4997142857142857,431.0,0.1259259259259259,0.086053412462908,22.6
14,Manipur,2022,0.7866666666666666,506.0,0.1374045801526717,0.1020408163265306,22.6
17,Meghalaya,2020,0.6733333333333333,586.0,0.0,0.0,41.650000000000006
17,Meghalaya,2021,0.6746666666666666,637.0,0.0,0.0742857142857142,41.650000000000006
18,Assam,2020,0.5815886287625418,354.0,0.0,0.0,32.9
18,Assam,2021,0.6023832528180354,355.0,0.0868628858578607,0.1753130590339892,32.9
19,West Bengal,2019,0.869944,1376.0,0.1513513513513513,0.3891402714932127,33.25
19,West Bengal,2020,0.5062642857142857,915.0,0.3487738419618528,0.2100719424460431,33.25
19,West Bengal,2021,0.5327142857142857,947.0,0.4085808580858086,0.3770384866275277,33.25
19,West Bengal,2022,0.6879,1367.0,0.3706484641638225,0.3660598179453836,33.25
20,Jharkhand,2019,0.9337166666666666,681.0,0.5875,0.4962518740629685,34.55
20,Jharkhand,2020,0.7016,481.0,0.3321100917431193,0.3272727272727272,34.55
20,Jharkhand,2021,0.8039384615384615,504.0,0.3625429553264604,0.0446735395189003,34.55
20,Jharkhand,2022,0.8188285714285715,898.0,0.352233676975945,0.0206185567010309,34.55
21,Odisha,2019,0.6381686746987952,904.0,0.0,0.3959881129271916,28.45
21,Odisha,2020,0.6976307692307693,1264.0,0.0,0.3579192546583851,28.45
21,Odisha,2021,0.7998461538461539,1867.0,0.1986628462273161,0.304282494365139,28.45
21,Odisha,2022,0.9271076923076924,2590.0,0.1928251121076233,0.2573143285821455,28.45
22,Chhattisgarh,2019,0.8036603773584906,1021.0,0.2660869565217391,0.5946969696969697,32.85
22,Chhattisgarh,2020,0.5195090909090909,585.0,0.189,0.5215782983970407,32.85
22,Chhattisgarh,2021,0.5764545454545454,703.0,0.1405312767780634,0.4302059496567506,32.85
22,Chhattisgarh,2022,0.6692181818181818,1605.0,0.2617342879872713,0.4922440537745605,32.85
23,Madhya Pradesh,2019,0.8172555066079296,744.0,0.0,0.4797430830039526,33.7
23,Madhya Pradesh,2020,0.5675885047896709,620.0,0.4542440318302387,0.3016393442622951,33.7
23,Madhya Pradesh,2021,0.6862099125364431,741.0,0.302158273381295,0.3073661897191309,33.7
23,Madhya Pradesh,2022,0.758665306122449,1505.0,0.2797246558197747,0.1618705035971223,33.7
24,Gujarat,2019,0.9183117647058824,1423.0,0.0608365019011406,0.1716559302766199,37.7
24,Gujarat,2020,0.6044512820512821,1164.0,0.1752232142857142,0.2027822364901016,37.7
24,Gujarat,2021,0.7256923076923077,1256.0,0.0254143646408839,0.117708880714661,37.7
24,Gujarat,2022,1.0022466666666667,1768.0,0.0961848468565287,0.0985615343633457,37.7
27,Maharashtra,2019,0.8360528301886793,913.0,0.2287862513426423,0.0746315459391658,35.2
27,Maharashtra,2020,0.5767185185185185,703.0,0.2568460812086874,0.2060217451909674,35.2
27,Maharashtra,2021,0.7112074074074074,832.0,0.2570647219690063,0.1912459587167371,35.2
27,Maharashtra,2022,0.8533185185185185,1519.0,0.2645551932929669,0.182070707070707,35.2
28,Andhra Pradesh,2019,0.8455391304347826,771.0,0.2932525951557093,0.0789473684210526,28.65
28,Andhra Pradesh,2020,0.5482608695652174,1166.0,0.2643029814665592,0.0338527673293928,28.65
28,Andhra Pradesh,2021,0.7390173913043478,1419.0,0.2288659793814433,0.0675675675675675,28.65
28,Andhra Pradesh,2022,0.7888173913043478,1524.0,0.2176470588235294,0.0716228467815049,28.65
29,Karnataka,2019,0.6928,1459.0,0.1733258300506471,0.007522331922896,34.7
29,Karnataka,2020,0.476,770.0,0.1024973985431841,0.1084804132587171,34.7
29,Karnataka,2021,0.5225185185185185,743.0,0.1731414868105515,0.2514546965918537,34.7
29,Karnataka,2022,0.79092,1345.0,0.1671996345363179,0.1661316211878009,34.7
30,Goa,2019,0.3436666666666667,1212.0,0.032258064516129,0.0,26.25
30,Goa,2020,0.3146875,836.0,0.0,0.0,26.25
30,Goa,2021,0.600625,868.0,0.0,0.09375,26.25
30,Goa,2022,0.7679166666666667,1316.0,0.0,0.1081081081081081,26.25
31,Lakshadweep,2019,0.1333333333333333,1218.0,0.0,0.0,33.15
31,Lakshadweep,2020,0.45,1738.0,0.0,0.0,33.15
31,Lakshadweep,2022,0.5,3933.0,0.0,0.0,33.15
32,Kerala,2019,0.79034375,1466.0,0.0,0.0,23.25
32,Kerala,2020,0.7366785714285714,749.0,0.0374787052810902,0.1689571544058205,23.25
32,Kerala,2021,0.7775714285714286,660.0,0.0362844702467343,0.046,23.25
32,Kerala,2022,0.980625,1141.0,0.0218579234972677,0.039002557544757,23.25
33,Tamil Nadu,2019,0.7706428571428572,1411.0,0.5213675213675214,0.3751758087201125,24.7
33,Tamil Nadu,2020,0.4731103448275862,792.0,0.3776709401709401,0.0900537634408602,24.7
33,Tamil Nadu,2021,0.5599931034482759,953.0,0.2376926902038786,0.0889334670678702,24.7
33,Tamil Nadu,2022,0.7728,2290.0,0.2216162617749132,0.0884125920964501,24.7
34,Puducherry,2019,0.8202739726027397,2168.0,0.0,0.0,18.65
34,Puducherry,2020,0.3553333333333333,802.0,0.0666666666666666,0.0,18.65
34,Puducherry,2021,0.6626666666666666,1011.0,0.0666666666666666,0.0,18.65
34,Puducherry,2022,0.683265306122449,1703.0,0.0666666666666666,0.0,18.65
35,Andaman And Nicobar Islands,2019,0.3036363636363636,1498.0,0.1739130434782608,0.1904761904761904,22.3
35,Andaman And Nicobar Islands,2020,0.3683333333333333,945.0,0.0,0.0,22.3
35,Andaman And Nicobar Islands,2021,0.7983333333333333,1542.0,0.1111111111111111,0.0566037735849056,22.3
35,Andaman And Nicobar Islands,2022,0.8867924528301887,4103.0,0.1111111111111111,0.0566037735849056,22.3
36,Telangana,2019,1.0066142857142857,990.0,0.1630012936610608,0.0326953748006379,31.9
36,Telangana,2020,0.755390243902439,693.0,0.1630012936610608,0.0326953748006379,31.9
36,Telangana,2021,0.7302073170731708,664.0,0.1630012936610608,0.0326953748006379,31.9
36,Telangana,2022,0.9038,1423.0,0.165079365079365,0.3098106712564544,31.9
37,Ladakh,2019,0.3976190476190476,864.0,0.0394456289985744,0.4040207522710831,29.65
37,Ladakh,2020,0.3047619047619048,850.0,0.0909090909090909,0.5652173913043478,29.65
37,Ladakh,2021,0.5107142857142857,1137.0,0.1538461538461538,0.5161290322580645,29.65
37,Ladakh,2022,0.9257142857142856,4099.0,0.2,0.5,29.65
38,The Dadra And Nagar Haveli And Daman And Diu,2019,0.5688135593220339,2017.0,0.0869565217391304,0.25,39.3
38,The Dadra And Nagar Haveli And Daman And Diu,2020,0.370625,1447.0,0.0,0.0,39.3
38,The Dadra And Nagar Haveli And Daman And Diu,2021,0.9450980392156862,1915.0,0.0,0.0,39.3
38,The Dadra And Nagar Haveli And Daman And Diu,2022,1.1345454545454543,2945.0,0.0,0.0,39.3
