Country,StateName,StateCode,Year,Number_of_tuberculosistb_patients_notified_sum,Number_of_tuberculosistb_patients_notified_avg,Number_tuberculosistb_cases_confirmed_bacteriologically_sum,Number_tuberculosistb_cases_confirmed_bacteriologically_avg,Number_of_patients_cured_from_tuberculosistb_sum,Number_of_patients_cured_from_tuberculosistb_avg,Percentage_of_patients_cured_from_tuberculosistb_sum,Percentage_of_patients_cured_from_tuberculosistb_avg,Number_of_successful_treatments_for_tuberculosistb_sum,Number_of_successful_treatments_for_tuberculosistb_avg,Percentage_of_successful_treatments_for_tuberculosistb_sum,Percentage_of_successful_treatments_for_tuberculosistb_avg,Number_of_patients_died_due_to_tuberculosistb_sum,Number_of_patients_died_due_to_tuberculosistb_avg,Percentage_of_deaths_due_to_tuberculosistb_sum,Percentage_of_deaths_due_to_tuberculosistb_avg,Number_of_failed_treatments_for_tuberculosistb_sum,Number_of_failed_treatments_for_tuberculosistb_avg,Percentage_of_failed_treatments_for_tuberculosistb_sum,Percentage_of_failed_treatments_for_tuberculosistb_avg,Number_of_tuberculosistb_cases_lost_to_followup_sum,Number_of_tuberculosistb_cases_lost_to_followup_avg,Percentage_of_tuberculosistb_cases_lost_to_followup_sum,Percentage_of_tuberculosistb_cases_lost_to_followup_avg,Number_of_regimen_change_in_tuberculosistb_cases_sum,Number_of_regimen_change_in_tuberculosistb_cases_avg,Percentage_of_regimen_change_in_tuberculosistb_cases_sum,Percentage_of_regimen_change_in_tuberculosistb_cases_avg,Number_of_tuberculosistb_cases_not_evaluated_sum,Number_of_tuberculosistb_cases_not_evaluated_avg,Percentage_of_tuberculosistb_cases_not_evaluated_sum,Percentage_of_tuberculosistb_cases_not_evaluated_avg,Others_sum,Others_avg
India,Sikkim,11,"Calendar Year (Jan - Dec), 2019",26.0,26.0,7.0,7.0,0.0,0.0,0.0,0.0,23.0,23.0,88.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,11.5,11.5,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2020",74.0,74.0,29.0,29.0,9.0,9.0,31.0,31.0,66.0,66.0,89.0,89.0,2.0,2.0,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.7,2.7,0.0,0.0,0.0,0.0,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2021",84.0,84.0,,,31.0,31.0,36.9,36.9,79.0,79.0,94.0,94.0,2.0,2.0,2.4,2.4,0.0,0.0,0.0,0.0,3.0,3.0,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2022",57.0,57.0,,,27.0,27.0,47.4,47.4,54.0,54.0,94.7,94.7,2.0,2.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2017",15.0,15.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,15.0,15.0,,,0.0,0.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2018",8.0,8.0,,,,,,,4.0,4.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,50.0,50.0,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2019",46.0,46.0,7.0,7.0,2.0,2.0,29.0,29.0,19.0,19.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.3,4.3,1.0,1.0,2.2,2.2,24.0,24.0,52.2,52.2,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2020",4.0,4.0,0.0,0.0,,,,,1.0,1.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,25.0,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2022",6.0,6.0,,,1.0,1.0,16.7,16.7,2.0,2.0,33.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.7,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2018",748.0,748.0,,,,,,,278.0,278.0,37.0,37.0,22.0,22.0,3.0,3.0,1.0,1.0,0.0,0.0,28.0,28.0,4.0,4.0,10.0,10.0,1.0,1.0,409.0,409.0,55.0,55.0,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2019",708.0,708.0,83.0,83.0,25.0,25.0,30.0,30.0,523.0,523.0,74.0,74.0,26.0,26.0,3.7,3.7,0.0,0.0,0.0,0.0,32.0,32.0,4.5,4.5,6.0,6.0,0.8,0.8,121.0,121.0,17.1,17.1,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2020",674.0,674.0,60.0,60.0,18.0,18.0,30.0,30.0,547.0,547.0,81.0,81.0,17.0,17.0,2.5,2.5,0.0,0.0,0.0,0.0,25.0,25.0,3.7,3.7,0.0,0.0,0.0,0.0,84.0,84.0,12.5,12.5,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2021",534.0,534.0,,,11.0,11.0,2.1,2.1,456.0,456.0,85.4,85.4,28.0,28.0,5.2,5.2,0.0,0.0,0.0,0.0,22.0,22.0,4.1,4.1,0.0,0.0,0.0,0.0,21.0,21.0,3.9,3.9,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2022",378.0,378.0,,,13.0,13.0,3.4,3.4,334.0,334.0,88.4,88.4,2.0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,17.0,17.0,4.5,4.5,1.0,1.0,0.3,0.3,17.0,17.0,4.5,4.5,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2017",1123.0,1123.0,,,,,,,490.0,490.0,44.0,44.0,13.0,13.0,1.0,1.0,,,,,,,,,,,,,600.0,600.0,,,20.0,20.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2018",650.0,650.0,,,,,,,515.0,515.0,79.0,79.0,10.0,10.0,2.0,2.0,1.0,1.0,0.0,0.0,23.0,23.0,4.0,4.0,2.0,2.0,0.0,0.0,99.0,99.0,15.0,15.0,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2019",373.0,373.0,183.0,183.0,23.0,23.0,13.0,13.0,238.0,238.0,64.0,64.0,4.0,4.0,1.1,1.1,0.0,0.0,0.0,0.0,20.0,20.0,5.4,5.4,2.0,2.0,0.5,0.5,109.0,109.0,29.2,29.2,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2020",177.0,177.0,88.0,88.0,12.0,12.0,14.0,14.0,113.0,113.0,64.0,64.0,7.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,2.8,2.8,0.0,0.0,0.0,0.0,14.0,14.0,7.9,7.9,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2021",183.0,183.0,,,41.0,41.0,22.4,22.4,130.0,130.0,71.0,71.0,3.0,3.0,1.6,1.6,1.0,1.0,0.5,0.5,6.0,6.0,3.3,3.3,3.0,3.0,1.6,1.6,2.0,2.0,1.1,1.1,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2022",243.0,243.0,,,33.0,33.0,13.6,13.6,104.0,104.0,42.8,42.8,4.0,4.0,1.6,1.6,0.0,0.0,0.0,0.0,11.0,11.0,4.5,4.5,1.0,1.0,0.4,0.4,2.0,2.0,0.8,0.8,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2017",62.0,62.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,62.0,62.0,,,0.0,0.0
India,Mizoram,15,"Calendar Year (Jan - Dec), 2018",50.0,50.0,,,,,,,17.0,17.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,32.0,32.0,64.0,64.0,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2019",54.0,54.0,29.0,29.0,8.0,8.0,28.0,28.0,26.0,26.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9,1.9,2.0,2.0,3.7,3.7,25.0,25.0,46.3,46.3,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2020",157.0,157.0,64.0,64.0,46.0,46.0,72.0,72.0,137.0,137.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.5,2.5,2.0,2.0,1.3,1.3,3.0,3.0,1.9,1.9,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2021",187.0,187.0,,,77.0,77.0,41.2,41.2,169.0,169.0,90.4,90.4,10.0,10.0,5.3,5.3,0.0,0.0,0.0,0.0,5.0,5.0,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2022",18.0,18.0,,,6.0,6.0,33.3,33.3,16.0,16.0,88.9,88.9,1.0,1.0,5.6,5.6,0.0,0.0,0.0,0.0,1.0,1.0,5.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
India,Tripura,16,"Calendar Year (Jan - Dec), 2017",8.0,8.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,8.0,8.0,,,0.0,0.0
India,Tripura,16,"Calendar Year (Jan - Dec), 2018",4.0,4.0,,,,,,,3.0,3.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,25.0,,
India,Tripura,16,"Calendar Year (Jan - Dec), 2019",12.0,12.0,9.0,9.0,6.0,6.0,67.0,67.0,8.0,8.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.3,8.3,0.0,0.0,0.0,0.0,3.0,3.0,25.0,25.0,,
India,Tripura,16,"Calendar Year (Jan - Dec), 2020",3.0,3.0,0.0,0.0,,,,,2.0,2.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
India,Tripura,16,"Calendar Year (Jan - Dec), 2021",12.0,12.0,,,3.0,3.0,25.0,25.0,10.0,10.0,83.3,83.3,1.0,1.0,8.3,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.3,8.3,,
India,Tripura,16,"Calendar Year (Jan - Dec), 2022",40.0,40.0,,,3.0,3.0,7.5,7.5,33.0,33.0,82.5,82.5,1.0,1.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2017",607.0,607.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,607.0,607.0,,,0.0,0.0
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2018",487.0,487.0,,,,,,,234.0,234.0,48.0,48.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,23.0,23.0,5.0,5.0,1.0,1.0,0.0,0.0,224.0,224.0,46.0,46.0,,
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2019",634.0,634.0,103.0,103.0,8.0,8.0,8.0,8.0,530.0,530.0,84.0,84.0,3.0,3.0,0.5,0.5,2.0,2.0,0.3,0.3,27.0,27.0,4.3,4.3,0.0,0.0,0.0,0.0,72.0,72.0,11.4,11.4,,
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2020",413.0,413.0,101.0,101.0,0.0,0.0,0.0,0.0,339.0,339.0,82.0,82.0,7.0,7.0,1.7,1.7,0.0,0.0,0.0,0.0,39.0,39.0,9.4,9.4,3.0,3.0,0.7,0.7,11.0,11.0,2.7,2.7,,
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2021",363.0,363.0,,,4.0,4.0,1.1,1.1,333.0,333.0,91.7,91.7,4.0,4.0,1.1,1.1,0.0,0.0,0.0,0.0,11.0,11.0,3.0,3.0,1.0,1.0,0.3,0.3,0.0,0.0,0.0,0.0,,
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2022",354.0,354.0,,,3.0,3.0,0.8,0.8,284.0,284.0,80.2,80.2,7.0,7.0,2.0,2.0,2.0,2.0,0.6,0.6,9.0,9.0,2.5,2.5,1.0,1.0,0.3,0.3,45.0,45.0,12.7,12.7,,
India,Assam,18,"Calendar Year (Jan - Dec), 2017",3770.0,3770.0,,,,,,,450.0,450.0,12.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1980.0,1980.0,,,1340.0,1340.0
India,Assam,18,"Calendar Year (Jan - Dec), 2018",4036.0,4036.0,,,,,,,2402.0,2402.0,60.0,60.0,58.0,58.0,1.0,1.0,14.0,14.0,0.0,0.0,34.0,34.0,1.0,1.0,14.0,14.0,0.0,0.0,1514.0,1514.0,38.0,38.0,,
India,Assam,18,"Calendar Year (Jan - Dec), 2019",5634.0,5634.0,916.0,916.0,237.0,237.0,26.0,26.0,4270.0,4270.0,76.0,76.0,178.0,178.0,3.2,3.2,30.0,30.0,0.5,0.5,87.0,87.0,1.5,1.5,32.0,32.0,0.6,0.6,1037.0,1037.0,18.4,18.4,,
India,Assam,18,"Calendar Year (Jan - Dec), 2020",3680.0,3680.0,759.0,759.0,170.0,170.0,22.0,22.0,3043.0,3043.0,83.0,83.0,166.0,166.0,4.5,4.5,12.0,12.0,0.3,0.3,47.0,47.0,1.3,1.3,17.0,17.0,0.5,0.5,256.0,256.0,7.0,7.0,,
India,Assam,18,"Calendar Year (Jan - Dec), 2021",4113.0,4113.0,,,331.0,331.0,8.0,8.0,3656.0,3656.0,88.9,88.9,195.0,195.0,4.7,4.7,28.0,28.0,0.7,0.7,62.0,62.0,1.5,1.5,15.0,15.0,0.4,0.4,7.0,7.0,0.2,0.2,,
India,Assam,18,"Calendar Year (Jan - Dec), 2022",5900.0,5900.0,,,485.0,485.0,8.2,8.2,5279.0,5279.0,89.5,89.5,184.0,184.0,3.1,3.1,23.0,23.0,0.4,0.4,77.0,77.0,1.3,1.3,36.0,36.0,0.6,0.6,61.0,61.0,1.0,1.0,,
India,West Bengal,19,"Calendar Year (Jan - Dec), 2017",12363.0,12363.0,,,,,,,5654.0,5654.0,46.0,46.0,116.0,116.0,1.0,1.0,,,,,,,,,,,,,5580.0,5580.0,,,1013.0,1013.0
India,West Bengal,19,"Calendar Year (Jan - Dec), 2018",13687.0,13687.0,,,,,,,9120.0,9120.0,67.0,67.0,248.0,248.0,2.0,2.0,53.0,53.0,0.0,0.0,293.0,293.0,2.0,2.0,61.0,61.0,0.0,0.0,3912.0,3912.0,29.0,29.0,,
India,West Bengal,19,"Calendar Year (Jan - Dec), 2019",16765.0,16765.0,6465.0,6465.0,1549.0,1549.0,24.0,24.0,11817.0,11817.0,70.0,70.0,660.0,660.0,3.9,3.9,48.0,48.0,0.3,0.3,507.0,507.0,3.0,3.0,149.0,149.0,0.9,0.9,3584.0,3584.0,21.4,21.4,,
India,West Bengal,19,"Calendar Year (Jan - Dec), 2020",8047.0,8047.0,2753.0,2753.0,1040.0,1040.0,38.0,38.0,6591.0,6591.0,82.0,82.0,406.0,406.0,5.0,5.0,31.0,31.0,0.4,0.4,160.0,160.0,2.0,2.0,57.0,57.0,0.7,0.7,275.0,275.0,3.4,3.4,,
India,West Bengal,19,"Calendar Year (Jan - Dec), 2021",9204.0,9204.0,,,1785.0,1785.0,19.4,19.4,6934.0,6934.0,75.3,75.3,435.0,435.0,4.7,4.7,48.0,48.0,0.5,0.5,152.0,152.0,1.7,1.7,80.0,80.0,0.9,0.9,481.0,481.0,5.2,5.2,,
India,West Bengal,19,"Calendar Year (Jan - Dec), 2022",6787.0,6787.0,,,1379.0,1379.0,20.3,20.3,5550.0,5550.0,81.8,81.8,260.0,260.0,3.8,3.8,28.0,28.0,0.4,0.4,129.0,129.0,1.9,1.9,74.0,74.0,1.1,1.1,110.0,110.0,1.6,1.6,,
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2017",7880.0,7880.0,,,,,,,1947.0,1947.0,25.0,25.0,9.0,9.0,0.0,0.0,,,,,,,,,,,,,5906.0,5906.0,,,18.0,18.0
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2018",10200.0,10200.0,,,,,,,6322.0,6322.0,62.0,62.0,97.0,97.0,1.0,1.0,17.0,17.0,0.0,0.0,366.0,366.0,4.0,4.0,30.0,30.0,0.0,0.0,3368.0,3368.0,33.0,33.0,,
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2019",12681.0,12681.0,1115.0,1115.0,127.0,127.0,11.0,11.0,7551.0,7551.0,60.0,60.0,233.0,233.0,1.8,1.8,38.0,38.0,0.3,0.3,741.0,741.0,5.8,5.8,29.0,29.0,0.2,0.2,4089.0,4089.0,32.2,32.2,,
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2020",14953.0,14953.0,1081.0,1081.0,44.0,44.0,4.0,4.0,12205.0,12205.0,82.0,82.0,666.0,666.0,4.5,4.5,19.0,19.0,0.1,0.1,1696.0,1696.0,11.3,11.3,67.0,67.0,0.4,0.4,110.0,110.0,0.7,0.7,,
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2021",16628.0,16628.0,,,80.0,80.0,0.5,0.5,13936.0,13936.0,83.8,83.8,708.0,708.0,4.3,4.3,14.0,14.0,0.1,0.1,1662.0,1662.0,10.0,10.0,56.0,56.0,0.3,0.3,79.0,79.0,0.5,0.5,,
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2022",11527.0,11527.0,,,395.0,395.0,3.4,3.4,10297.0,10297.0,89.3,89.3,288.0,288.0,2.5,2.5,48.0,48.0,0.4,0.4,416.0,416.0,3.6,3.6,24.0,24.0,0.2,0.2,211.0,211.0,1.8,1.8,,
India,Odisha,21,"Calendar Year (Jan - Dec), 2017",3779.0,3779.0,,,,,,,604.0,604.0,16.0,16.0,8.0,8.0,0.0,0.0,,,,,,,,,,,,,3113.0,3113.0,,,54.0,54.0
India,Odisha,21,"Calendar Year (Jan - Dec), 2018",2560.0,2560.0,,,,,,,2105.0,2105.0,82.0,82.0,48.0,48.0,2.0,2.0,6.0,6.0,0.0,0.0,77.0,77.0,3.0,3.0,7.0,7.0,0.0,0.0,317.0,317.0,12.0,12.0,,
India,Odisha,21,"Calendar Year (Jan - Dec), 2019",3840.0,3840.0,807.0,807.0,530.0,530.0,66.0,66.0,3165.0,3165.0,82.0,82.0,127.0,127.0,3.3,3.3,9.0,9.0,0.2,0.2,122.0,122.0,3.2,3.2,20.0,20.0,0.5,0.5,397.0,397.0,10.3,10.3,,
India,Odisha,21,"Calendar Year (Jan - Dec), 2020",3577.0,3577.0,416.0,416.0,373.0,373.0,90.0,90.0,3254.0,3254.0,91.0,91.0,85.0,85.0,2.4,2.4,2.0,2.0,0.1,0.1,42.0,42.0,1.2,1.2,9.0,9.0,0.3,0.3,95.0,95.0,2.7,2.7,,
India,Odisha,21,"Calendar Year (Jan - Dec), 2021",3852.0,3852.0,,,388.0,388.0,10.1,10.1,3536.0,3536.0,91.8,91.8,99.0,99.0,2.6,2.6,5.0,5.0,0.1,0.1,28.0,28.0,0.7,0.7,9.0,9.0,0.2,0.2,52.0,52.0,1.3,1.3,,
India,Odisha,21,"Calendar Year (Jan - Dec), 2022",4327.0,4327.0,,,422.0,422.0,9.8,9.8,3964.0,3964.0,91.6,91.6,71.0,71.0,1.6,1.6,7.0,7.0,0.2,0.2,46.0,46.0,1.1,1.1,11.0,11.0,0.3,0.3,92.0,92.0,2.1,2.1,,
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2017",10658.0,10658.0,,,,,,,5476.0,5476.0,51.0,51.0,39.0,39.0,0.0,0.0,,,,,,,,,,,,,4252.0,4252.0,,,891.0,891.0
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2018",10604.0,10604.0,,,,,,,7122.0,7122.0,67.0,67.0,94.0,94.0,1.0,1.0,54.0,54.0,1.0,1.0,147.0,147.0,1.0,1.0,15.0,15.0,0.0,0.0,3172.0,3172.0,30.0,30.0,,
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2019",10904.0,10904.0,1172.0,1172.0,510.0,510.0,44.0,44.0,8890.0,8890.0,82.0,82.0,186.0,186.0,1.7,1.7,31.0,31.0,0.3,0.3,263.0,263.0,2.4,2.4,15.0,15.0,0.1,0.1,1519.0,1519.0,13.9,13.9,,
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2020",6977.0,6977.0,806.0,806.0,524.0,524.0,65.0,65.0,5813.0,5813.0,83.0,83.0,238.0,238.0,3.4,3.4,24.0,24.0,0.3,0.3,316.0,316.0,4.5,4.5,21.0,21.0,0.3,0.3,491.0,491.0,7.0,7.0,,
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2021",7240.0,7240.0,,,514.0,514.0,7.1,7.1,6197.0,6197.0,85.6,85.6,399.0,399.0,5.5,5.5,29.0,29.0,0.4,0.4,272.0,272.0,3.8,3.8,59.0,59.0,0.8,0.8,101.0,101.0,1.4,1.4,,
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2022",9166.0,9166.0,,,537.0,537.0,5.9,5.9,7971.0,7971.0,87.0,87.0,618.0,618.0,6.7,6.7,52.0,52.0,0.6,0.6,270.0,270.0,2.9,2.9,71.0,71.0,0.8,0.8,26.0,26.0,0.3,0.3,,
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2017",16964.0,16964.0,,,,,,,10748.0,10748.0,63.0,63.0,58.0,58.0,0.0,0.0,,,,,,,,,,,,,4110.0,4110.0,,,2048.0,2048.0
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2018",32573.0,32573.0,,,,,,,18475.0,18475.0,57.0,57.0,220.0,220.0,1.0,1.0,147.0,147.0,0.0,0.0,1805.0,1805.0,6.0,6.0,43.0,43.0,0.0,0.0,11883.0,11883.0,36.0,36.0,,
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2019",40191.0,40191.0,4542.0,4542.0,1841.0,1841.0,41.0,41.0,26224.0,26224.0,65.0,65.0,901.0,901.0,2.2,2.2,204.0,204.0,0.5,0.5,4730.0,4730.0,11.8,11.8,130.0,130.0,0.3,0.3,8002.0,8002.0,19.9,19.9,,
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2020",29646.0,29646.0,4320.0,4320.0,1747.0,1747.0,40.0,40.0,19035.0,19035.0,64.0,64.0,948.0,948.0,3.2,3.2,125.0,125.0,0.4,0.4,2545.0,2545.0,8.6,8.6,198.0,198.0,0.7,0.7,5433.0,5433.0,18.3,18.3,,
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2021",47338.0,47338.0,,,4041.0,4041.0,8.5,8.5,39732.0,39732.0,83.9,83.9,1686.0,1686.0,3.6,3.6,197.0,197.0,0.4,0.4,3330.0,3330.0,7.0,7.0,321.0,321.0,0.7,0.7,843.0,843.0,1.8,1.8,,
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2022",47317.0,47317.0,,,5129.0,5129.0,10.8,10.8,41575.0,41575.0,87.9,87.9,1504.0,1504.0,3.2,3.2,210.0,210.0,0.4,0.4,2726.0,2726.0,5.8,5.8,298.0,298.0,0.6,0.6,177.0,177.0,0.4,0.4,,
