Country,StateName,StateCode,Year,Number_of_tuberculosistb_patients_notified_sum,Number_of_tuberculosistb_patients_notified_avg,Number_of_tuberculosistb_cases_confirmed_bacteriologically_sum,Number_of_tuberculosistb_cases_confirmed_bacteriologically_avg,Number_of_patients_cured_from_tuberculosistb_sum,Number_of_patients_cured_from_tuberculosistb_avg,Percentage_of_patients_cured_from_tuberculosistb_sum,Percentage_of_patients_cured_from_tuberculosistb_avg,Number_of_successful_treatments_for_tuberculosistb_sum,Number_of_successful_treatments_for_tuberculosistb_avg,Percentage_of_successful_treatments_for_tuberculosistb_sum,Percentage_of_successful_treatments_for_tuberculosistb_avg,Number_of_patients_died_due_to_tuberculosistb_sum,Number_of_patients_died_due_to_tuberculosistb_avg,Percentage_of_deaths_due_to_tuberculosistb_sum,Percentage_of_deaths_due_to_tuberculosistb_avg,Number_of_failed_treatments_for_tuberculosistb_sum,Number_of_failed_treatments_for_tuberculosistb_avg,Percentage_of_failed_treatments_for_tuberculosistb_sum,Percentage_of_failed_treatments_for_tuberculosistb_avg,Number_of_tuberculosistb_cases_lost_to_followup_sum,Number_of_tuberculosistb_cases_lost_to_followup_avg,Percentage_of_tuberculosistb_cases_lost_to_followup_sum,Percentage_of_tuberculosistb_cases_lost_to_followup_avg,Number_of_regimen_change_in_tuberculosistb_cases_sum,Number_of_regimen_change_in_tuberculosistb_cases_avg,Percentage_of_regimen_change_in_tuberculosistb_cases_sum,Percentage_of_regimen_change_in_tuberculosistb_cases_avg,Number_of_tuberculosistb_cases_not_evaluated_sum,Number_of_tuberculosistb_cases_not_evaluated_avg,Percentage_of_tuberculosistb_cases_not_evaluated_sum,Percentage_of_tuberculosistb_cases_not_evaluated_avg
India,Sikkim,11,"Calendar Year (Jan - Dec), 2022",1175.0,1175.0,,,590.0,590.0,50.2,50.2,1066.0,1066.0,90.7,90.7,41.0,41.0,3.5,3.5,4.0,4.0,0.3,0.3,6.0,6.0,0.5,0.5,17.0,17.0,1.4,1.4,2.0,2.0,0.2,0.2
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2017",3082.0,3082.0,1641.0,1641.0,837.0,837.0,51.0,51.0,2203.0,2203.0,71.0,71.0,55.0,55.0,1.8,1.8,49.0,49.0,1.6,1.6,171.0,171.0,5.5,5.5,112.0,112.0,3.6,3.6,492.0,492.0,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2018",2892.0,2892.0,1144.0,1144.0,895.0,895.0,78.0,78.0,2360.0,2360.0,82.0,82.0,59.0,59.0,2.0,2.0,44.0,44.0,2.0,2.0,167.0,167.0,6.0,6.0,72.0,72.0,2.0,2.0,190.0,190.0,7.0,7.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2019",2818.0,2818.0,1364.0,1364.0,1043.0,1043.0,76.0,76.0,2343.0,2343.0,83.0,83.0,64.0,64.0,2.3,2.3,35.0,35.0,1.2,1.2,202.0,202.0,7.2,7.2,78.0,78.0,2.8,2.8,96.0,96.0,3.4,3.4
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2020",2420.0,2420.0,1247.0,1247.0,816.0,816.0,65.0,65.0,2013.0,2013.0,83.0,83.0,78.0,78.0,3.2,3.2,23.0,23.0,1.0,1.0,123.0,123.0,5.1,5.1,76.0,76.0,3.1,3.1,23.0,23.0,1.0,1.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2021",2726.0,2726.0,,,884.0,884.0,32.4,32.4,2163.0,2163.0,79.3,79.3,73.0,73.0,2.7,2.7,18.0,18.0,0.7,0.7,180.0,180.0,6.6,6.6,61.0,61.0,2.2,2.2,34.0,34.0,1.2,1.2
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2022",2853.0,2853.0,,,992.0,992.0,34.8,34.8,2353.0,2353.0,82.5,82.5,64.0,64.0,2.2,2.2,22.0,22.0,0.8,0.8,213.0,213.0,7.5,7.5,63.0,63.0,2.2,2.2,4.0,4.0,0.1,0.1
India,Nagaland,13,"Calendar Year (Jan - Dec), 2017",2332.0,2332.0,1297.0,1297.0,778.0,778.0,60.0,60.0,1734.0,1734.0,74.0,74.0,46.0,46.0,2.0,2.0,28.0,28.0,1.2,1.2,100.0,100.0,4.3,4.3,15.0,15.0,0.6,0.6,409.0,409.0,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2018",3574.0,3574.0,1570.0,1570.0,1392.0,1392.0,89.0,89.0,3117.0,3117.0,87.0,87.0,73.0,73.0,2.0,2.0,19.0,19.0,1.0,1.0,130.0,130.0,4.0,4.0,12.0,12.0,0.0,0.0,223.0,223.0,6.0,6.0
India,Nagaland,13,"Calendar Year (Jan - Dec), 2019",3985.0,3985.0,2133.0,2133.0,1569.0,1569.0,74.0,74.0,3363.0,3363.0,84.0,84.0,82.0,82.0,2.1,2.1,29.0,29.0,0.7,0.7,133.0,133.0,3.3,3.3,23.0,23.0,0.6,0.6,355.0,355.0,8.9,8.9
India,Nagaland,13,"Calendar Year (Jan - Dec), 2020",2844.0,2844.0,1598.0,1598.0,1214.0,1214.0,76.0,76.0,2294.0,2294.0,81.0,81.0,80.0,80.0,2.8,2.8,26.0,26.0,0.9,0.9,65.0,65.0,2.3,2.3,24.0,24.0,0.8,0.8,284.0,284.0,10.0,10.0
India,Nagaland,13,"Calendar Year (Jan - Dec), 2021",3102.0,3102.0,,,1432.0,1432.0,46.2,46.2,2666.0,2666.0,85.9,85.9,85.0,85.0,2.7,2.7,39.0,39.0,1.3,1.3,84.0,84.0,2.7,2.7,17.0,17.0,0.5,0.5,130.0,130.0,4.2,4.2
India,Nagaland,13,"Calendar Year (Jan - Dec), 2022",3764.0,3764.0,,,1562.0,1562.0,41.5,41.5,3307.0,3307.0,87.9,87.9,94.0,94.0,2.5,2.5,28.0,28.0,0.7,0.7,179.0,179.0,4.8,4.8,34.0,34.0,0.9,0.9,47.0,47.0,1.2,1.2
India,Manipur,14,"Calendar Year (Jan - Dec), 2017",1648.0,1648.0,1100.0,1100.0,572.0,572.0,52.0,52.0,1143.0,1143.0,69.0,69.0,41.0,41.0,2.5,2.5,11.0,11.0,0.7,0.7,58.0,58.0,3.5,3.5,12.0,12.0,0.7,0.7,383.0,383.0,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2018",2212.0,2212.0,1114.0,1114.0,702.0,702.0,63.0,63.0,1766.0,1766.0,80.0,80.0,62.0,62.0,3.0,3.0,10.0,10.0,0.0,0.0,64.0,64.0,3.0,3.0,16.0,16.0,1.0,1.0,294.0,294.0,13.0,13.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2019",2250.0,2250.0,1246.0,1246.0,710.0,710.0,57.0,57.0,1563.0,1563.0,69.0,69.0,70.0,70.0,3.1,3.1,6.0,6.0,0.3,0.3,55.0,55.0,2.4,2.4,39.0,39.0,1.7,1.7,517.0,517.0,23.0,23.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2020",1387.0,1387.0,763.0,763.0,521.0,521.0,68.0,68.0,1132.0,1132.0,82.0,82.0,48.0,48.0,3.5,3.5,6.0,6.0,0.4,0.4,38.0,38.0,2.7,2.7,17.0,17.0,1.2,1.2,75.0,75.0,5.4,5.4
India,Manipur,14,"Calendar Year (Jan - Dec), 2021",1632.0,1632.0,,,741.0,741.0,45.4,45.4,1312.0,1312.0,80.4,80.4,70.0,70.0,4.3,4.3,8.0,8.0,0.5,0.5,55.0,55.0,3.4,3.4,44.0,44.0,2.7,2.7,51.0,51.0,3.1,3.1
India,Manipur,14,"Calendar Year (Jan - Dec), 2022",2341.0,2341.0,,,951.0,951.0,40.6,40.6,1745.0,1745.0,74.5,74.5,81.0,81.0,3.5,3.5,9.0,9.0,0.4,0.4,97.0,97.0,4.1,4.1,23.0,23.0,1.0,1.0,28.0,28.0,1.2,1.2
India,Mizoram,15,"Calendar Year (Jan - Dec), 2017",2383.0,2383.0,853.0,853.0,384.0,384.0,45.0,45.0,1567.0,1567.0,66.0,66.0,49.0,49.0,2.1,2.1,27.0,27.0,1.1,1.1,40.0,40.0,1.7,1.7,27.0,27.0,1.1,1.1,673.0,673.0,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2018",2526.0,2526.0,1018.0,1018.0,619.0,619.0,61.0,61.0,2239.0,2239.0,89.0,89.0,53.0,53.0,2.0,2.0,15.0,15.0,1.0,1.0,45.0,45.0,2.0,2.0,12.0,12.0,0.0,0.0,162.0,162.0,6.0,6.0
India,Mizoram,15,"Calendar Year (Jan - Dec), 2019",2876.0,2876.0,1473.0,1473.0,724.0,724.0,49.0,49.0,1945.0,1945.0,68.0,68.0,48.0,48.0,1.7,1.7,8.0,8.0,0.3,0.3,41.0,41.0,1.4,1.4,14.0,14.0,0.5,0.5,820.0,820.0,28.5,28.5
India,Mizoram,15,"Calendar Year (Jan - Dec), 2020",1831.0,1831.0,917.0,917.0,630.0,630.0,69.0,69.0,1636.0,1636.0,89.0,89.0,50.0,50.0,2.7,2.7,5.0,5.0,0.3,0.3,27.0,27.0,1.5,1.5,25.0,25.0,1.4,1.4,49.0,49.0,2.7,2.7
India,Mizoram,15,"Calendar Year (Jan - Dec), 2021",1483.0,1483.0,,,507.0,507.0,34.2,34.2,1308.0,1308.0,88.2,88.2,62.0,62.0,4.2,4.2,16.0,16.0,1.1,1.1,28.0,28.0,1.9,1.9,7.0,7.0,0.5,0.5,9.0,9.0,0.6,0.6
India,Mizoram,15,"Calendar Year (Jan - Dec), 2022",1975.0,1975.0,,,715.0,715.0,36.2,36.2,1728.0,1728.0,87.5,87.5,84.0,84.0,4.3,4.3,9.0,9.0,0.5,0.5,37.0,37.0,1.9,1.9,21.0,21.0,1.1,1.1,12.0,12.0,0.6,0.6
India,Tripura,16,"Calendar Year (Jan - Dec), 2017",1951.0,1951.0,1394.0,1394.0,864.0,864.0,62.0,62.0,1399.0,1399.0,72.0,72.0,101.0,101.0,5.2,5.2,7.0,7.0,0.4,0.4,79.0,79.0,4.0,4.0,8.0,8.0,0.4,0.4,357.0,357.0,,
India,Tripura,16,"Calendar Year (Jan - Dec), 2018",2698.0,2698.0,1814.0,1814.0,1435.0,1435.0,79.0,79.0,2356.0,2356.0,87.0,87.0,127.0,127.0,5.0,5.0,17.0,17.0,1.0,1.0,63.0,63.0,2.0,2.0,15.0,15.0,1.0,1.0,120.0,120.0,4.0,4.0
India,Tripura,16,"Calendar Year (Jan - Dec), 2019",2924.0,2924.0,1967.0,1967.0,1396.0,1396.0,71.0,71.0,2415.0,2415.0,83.0,83.0,173.0,173.0,5.9,5.9,18.0,18.0,0.6,0.6,84.0,84.0,2.9,2.9,62.0,62.0,2.1,2.1,172.0,172.0,5.9,5.9
India,Tripura,16,"Calendar Year (Jan - Dec), 2020",2134.0,2134.0,1412.0,1412.0,1043.0,1043.0,74.0,74.0,1737.0,1737.0,81.0,81.0,159.0,159.0,7.5,7.5,9.0,9.0,0.4,0.4,50.0,50.0,2.3,2.3,60.0,60.0,2.8,2.8,42.0,42.0,2.0,2.0
India,Tripura,16,"Calendar Year (Jan - Dec), 2021",2717.0,2717.0,,,1153.0,1153.0,42.4,42.4,2318.0,2318.0,85.3,85.3,166.0,166.0,6.1,6.1,11.0,11.0,0.4,0.4,58.0,58.0,2.1,2.1,52.0,52.0,1.9,1.9,22.0,22.0,0.8,0.8
India,Tripura,16,"Calendar Year (Jan - Dec), 2022",3226.0,3226.0,,,1329.0,1329.0,41.2,41.2,2803.0,2803.0,86.9,86.9,181.0,181.0,5.6,5.6,13.0,13.0,0.4,0.4,79.0,79.0,2.4,2.4,35.0,35.0,1.1,1.1,2.0,2.0,0.1,0.1
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2017",2946.0,2946.0,1927.0,1927.0,848.0,848.0,44.0,44.0,2000.0,2000.0,68.0,68.0,94.0,94.0,3.2,3.2,17.0,17.0,0.6,0.6,109.0,109.0,3.7,3.7,36.0,36.0,1.2,1.2,690.0,690.0,,
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2018",3972.0,3972.0,2159.0,2159.0,1328.0,1328.0,62.0,62.0,3145.0,3145.0,79.0,79.0,142.0,142.0,4.0,4.0,35.0,35.0,1.0,1.0,97.0,97.0,2.0,2.0,55.0,55.0,1.0,1.0,498.0,498.0,13.0,13.0
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2019",4329.0,4329.0,2484.0,2484.0,1500.0,1500.0,60.0,60.0,3425.0,3425.0,79.0,79.0,183.0,183.0,4.2,4.2,31.0,31.0,0.7,0.7,129.0,129.0,3.0,3.0,75.0,75.0,1.7,1.7,486.0,486.0,11.2,11.2
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2020",3451.0,3451.0,1989.0,1989.0,1206.0,1206.0,61.0,61.0,2770.0,2770.0,80.0,80.0,178.0,178.0,5.2,5.2,27.0,27.0,0.8,0.8,109.0,109.0,3.2,3.2,86.0,86.0,2.5,2.5,72.0,72.0,2.1,2.1
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2021",3553.0,3553.0,,,1310.0,1310.0,36.9,36.9,2989.0,2989.0,84.1,84.1,176.0,176.0,5.0,5.0,21.0,21.0,0.6,0.6,72.0,72.0,2.0,2.0,107.0,107.0,3.0,3.0,6.0,6.0,0.2,0.2
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2022",4285.0,4285.0,,,1737.0,1737.0,40.5,40.5,3574.0,3574.0,83.4,83.4,190.0,190.0,4.4,4.4,20.0,20.0,0.5,0.5,130.0,130.0,3.0,3.0,83.0,83.0,1.9,1.9,18.0,18.0,0.4,0.4
India,Assam,18,"Calendar Year (Jan - Dec), 2017",36532.0,36532.0,19744.0,19744.0,11254.0,11254.0,57.0,57.0,27906.0,27906.0,76.0,76.0,1393.0,1393.0,3.8,3.8,314.0,314.0,0.9,0.9,2113.0,2113.0,5.8,5.8,206.0,206.0,0.6,0.6,4600.0,4600.0,,
India,Assam,18,"Calendar Year (Jan - Dec), 2018",37640.0,37640.0,18234.0,18234.0,12582.0,12582.0,69.0,69.0,32201.0,32201.0,86.0,86.0,1504.0,1504.0,4.0,4.0,213.0,213.0,1.0,1.0,1476.0,1476.0,4.0,4.0,177.0,177.0,0.0,0.0,2069.0,2069.0,5.0,5.0
India,Assam,18,"Calendar Year (Jan - Dec), 2019",42145.0,42145.0,21296.0,21296.0,13880.0,13880.0,65.0,65.0,35606.0,35606.0,84.0,84.0,1662.0,1662.0,3.9,3.9,161.0,161.0,0.4,0.4,1123.0,1123.0,2.7,2.7,416.0,416.0,1.0,1.0,3177.0,3177.0,7.5,7.5
India,Assam,18,"Calendar Year (Jan - Dec), 2020",30860.0,30860.0,15466.0,15466.0,9216.0,9216.0,60.0,60.0,25853.0,25853.0,84.0,84.0,1256.0,1256.0,4.1,4.1,113.0,113.0,0.4,0.4,587.0,587.0,1.9,1.9,433.0,433.0,1.4,1.4,1116.0,1116.0,3.6,3.6
India,Assam,18,"Calendar Year (Jan - Dec), 2021",33440.0,33440.0,,,9137.0,9137.0,27.3,27.3,29435.0,29435.0,88.0,88.0,1454.0,1454.0,4.3,4.3,174.0,174.0,0.5,0.5,670.0,670.0,2.0,2.0,307.0,307.0,0.9,0.9,98.0,98.0,0.3,0.3
India,Assam,18,"Calendar Year (Jan - Dec), 2022",41504.0,41504.0,,,11680.0,11680.0,28.1,28.1,36739.0,36739.0,88.5,88.5,1566.0,1566.0,3.8,3.8,190.0,190.0,0.5,0.5,604.0,604.0,1.5,1.5,427.0,427.0,1.0,1.0,151.0,151.0,0.4,0.4
India,West Bengal,19,"Calendar Year (Jan - Dec), 2017",81291.0,81291.0,55032.0,55032.0,40724.0,40724.0,74.0,74.0,67723.0,67723.0,83.0,83.0,3761.0,3761.0,4.6,4.6,904.0,904.0,1.1,1.1,4168.0,4168.0,5.1,5.1,929.0,929.0,1.1,1.1,3806.0,3806.0,,
India,West Bengal,19,"Calendar Year (Jan - Dec), 2018",87346.0,87346.0,58719.0,58719.0,44499.0,44499.0,76.0,76.0,75441.0,75441.0,86.0,86.0,4323.0,4323.0,5.0,5.0,684.0,684.0,1.0,1.0,2729.0,2729.0,3.0,3.0,949.0,949.0,1.0,1.0,3220.0,3220.0,4.0,4.0
India,West Bengal,19,"Calendar Year (Jan - Dec), 2019",91732.0,91732.0,62858.0,62858.0,45076.0,45076.0,72.0,72.0,76531.0,76531.0,83.0,83.0,4757.0,4757.0,5.2,5.2,584.0,584.0,0.6,0.6,2430.0,2430.0,2.6,2.6,1152.0,1152.0,1.3,1.3,6278.0,6278.0,6.8,6.8
India,West Bengal,19,"Calendar Year (Jan - Dec), 2020",69430.0,69430.0,47208.0,47208.0,34523.0,34523.0,73.0,73.0,58574.0,58574.0,84.0,84.0,3914.0,3914.0,5.6,5.6,436.0,436.0,0.6,0.6,1396.0,1396.0,2.0,2.0,1165.0,1165.0,1.7,1.7,1146.0,1146.0,1.7,1.7
India,West Bengal,19,"Calendar Year (Jan - Dec), 2021",80073.0,80073.0,,,40406.0,40406.0,50.5,50.5,67498.0,67498.0,84.3,84.3,4528.0,4528.0,5.7,5.7,596.0,596.0,0.7,0.7,1558.0,1558.0,1.9,1.9,1257.0,1257.0,1.6,1.6,839.0,839.0,1.0,1.0
India,West Bengal,19,"Calendar Year (Jan - Dec), 2022",86134.0,86134.0,,,43041.0,43041.0,50.0,50.0,74111.0,74111.0,86.0,86.0,4382.0,4382.0,5.1,5.1,551.0,551.0,0.6,0.6,1766.0,1766.0,2.1,2.1,1749.0,1749.0,2.0,2.0,281.0,281.0,0.3,0.3
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2017",35376.0,35376.0,21368.0,21368.0,14103.0,14103.0,66.0,66.0,27731.0,27731.0,78.0,78.0,759.0,759.0,2.1,2.1,191.0,191.0,0.5,0.5,982.0,982.0,2.8,2.8,177.0,177.0,0.5,0.5,5536.0,5536.0,,
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2018",38469.0,38469.0,21177.0,21177.0,15736.0,15736.0,74.0,74.0,34251.0,34251.0,89.0,89.0,1066.0,1066.0,3.0,3.0,206.0,206.0,1.0,1.0,896.0,896.0,2.0,2.0,151.0,151.0,0.0,0.0,1899.0,1899.0,5.0,5.0
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2019",43843.0,43843.0,25186.0,25186.0,15119.0,15119.0,60.0,60.0,35899.0,35899.0,82.0,82.0,1081.0,1081.0,2.5,2.5,243.0,243.0,0.6,0.6,855.0,855.0,2.0,2.0,241.0,241.0,0.5,0.5,5524.0,5524.0,12.6,12.6
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2020",30707.0,30707.0,17520.0,17520.0,10053.0,10053.0,57.0,57.0,25836.0,25836.0,84.0,84.0,902.0,902.0,2.9,2.9,150.0,150.0,0.5,0.5,682.0,682.0,2.2,2.2,242.0,242.0,0.8,0.8,1295.0,1295.0,4.2,4.2
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2021",36165.0,36165.0,,,12966.0,12966.0,35.9,35.9,31736.0,31736.0,87.8,87.8,1118.0,1118.0,3.1,3.1,221.0,221.0,0.6,0.6,851.0,851.0,2.4,2.4,264.0,264.0,0.7,0.7,605.0,605.0,1.7,1.7
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2022",47469.0,47469.0,,,17438.0,17438.0,36.7,36.7,42330.0,42330.0,89.2,89.2,1272.0,1272.0,2.7,2.7,227.0,227.0,0.5,0.5,865.0,865.0,1.8,1.8,246.0,246.0,0.5,0.5,266.0,266.0,0.6,0.6
India,Odisha,21,"Calendar Year (Jan - Dec), 2017",63342.0,63342.0,39458.0,39458.0,20913.0,20913.0,53.0,53.0,38988.0,38988.0,62.0,62.0,2449.0,2449.0,3.9,3.9,294.0,294.0,0.5,0.5,1799.0,1799.0,2.8,2.8,203.0,203.0,0.3,0.3,19609.0,19609.0,,
India,Odisha,21,"Calendar Year (Jan - Dec), 2018",45747.0,45747.0,26346.0,26346.0,21026.0,21026.0,80.0,80.0,40598.0,40598.0,89.0,89.0,2474.0,2474.0,5.0,5.0,178.0,178.0,0.0,0.0,1407.0,1407.0,3.0,3.0,244.0,244.0,1.0,1.0,846.0,846.0,2.0,2.0
India,Odisha,21,"Calendar Year (Jan - Dec), 2019",48439.0,48439.0,28412.0,28412.0,22056.0,22056.0,78.0,78.0,42454.0,42454.0,88.0,88.0,2611.0,2611.0,5.4,5.4,171.0,171.0,0.4,0.4,1022.0,1022.0,2.1,2.1,409.0,409.0,0.8,0.8,1772.0,1772.0,3.7,3.7
India,Odisha,21,"Calendar Year (Jan - Dec), 2020",41418.0,41418.0,24560.0,24560.0,19934.0,19934.0,81.0,81.0,36741.0,36741.0,89.0,89.0,2421.0,2421.0,5.8,5.8,105.0,105.0,0.3,0.3,542.0,542.0,1.3,1.3,239.0,239.0,0.6,0.6,431.0,431.0,1.0,1.0
India,Odisha,21,"Calendar Year (Jan - Dec), 2021",47936.0,47936.0,,,21931.0,21931.0,45.8,45.8,42937.0,42937.0,89.6,89.6,2874.0,2874.0,6.0,6.0,80.0,80.0,0.2,0.2,470.0,470.0,1.0,1.0,253.0,253.0,0.5,0.5,338.0,338.0,0.7,0.7
India,Odisha,21,"Calendar Year (Jan - Dec), 2022",55329.0,55329.0,,,25170.0,25170.0,45.5,45.5,50344.0,50344.0,91.0,91.0,2575.0,2575.0,4.7,4.7,100.0,100.0,0.2,0.2,444.0,444.0,0.8,0.8,251.0,251.0,0.5,0.5,319.0,319.0,0.6,0.6
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2017",31181.0,31181.0,16400.0,16400.0,12628.0,12628.0,77.0,77.0,27724.0,27724.0,89.0,89.0,1416.0,1416.0,4.5,4.5,329.0,329.0,1.1,1.1,976.0,976.0,3.1,3.1,170.0,170.0,0.5,0.5,566.0,566.0,,
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2018",29923.0,29923.0,14490.0,14490.0,11760.0,11760.0,81.0,81.0,26756.0,26756.0,89.0,89.0,1309.0,1309.0,4.0,4.0,193.0,193.0,1.0,1.0,641.0,641.0,2.0,2.0,165.0,165.0,1.0,1.0,859.0,859.0,3.0,3.0
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2019",31941.0,31941.0,15994.0,15994.0,11958.0,11958.0,75.0,75.0,27275.0,27275.0,85.0,85.0,1417.0,1417.0,4.4,4.4,176.0,176.0,0.6,0.6,558.0,558.0,1.7,1.7,338.0,338.0,1.1,1.1,2177.0,2177.0,6.8,6.8
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2020",22127.0,22127.0,10552.0,10552.0,7910.0,7910.0,75.0,75.0,19267.0,19267.0,87.0,87.0,1142.0,1142.0,5.2,5.2,113.0,113.0,0.5,0.5,369.0,369.0,1.7,1.7,240.0,240.0,1.1,1.1,581.0,581.0,2.6,2.6
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2021",24944.0,24944.0,,,10095.0,10095.0,40.5,40.5,21449.0,21449.0,86.0,86.0,1447.0,1447.0,5.8,5.8,147.0,147.0,0.6,0.6,355.0,355.0,1.4,1.4,343.0,343.0,1.4,1.4,440.0,440.0,1.8,1.8
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2022",29622.0,29622.0,,,12080.0,12080.0,40.8,40.8,26285.0,26285.0,88.7,88.7,1478.0,1478.0,5.0,5.0,129.0,129.0,0.4,0.4,448.0,448.0,1.5,1.5,359.0,359.0,1.2,1.2,143.0,143.0,0.5,0.5
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2017",114827.0,114827.0,62860.0,62860.0,42745.0,42745.0,68.0,68.0,99814.0,99814.0,87.0,87.0,3923.0,3923.0,3.4,3.4,1165.0,1165.0,1.0,1.0,5386.0,5386.0,4.7,4.7,760.0,760.0,0.7,0.7,3779.0,3779.0,,
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2018",120273.0,120273.0,55240.0,55240.0,39554.0,39554.0,72.0,72.0,105690.0,105690.0,88.0,88.0,4096.0,4096.0,3.0,3.0,921.0,921.0,1.0,1.0,4281.0,4281.0,4.0,4.0,551.0,551.0,0.0,0.0,4734.0,4734.0,4.0,4.0
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2019",142986.0,142986.0,66791.0,66791.0,40836.0,40836.0,61.0,61.0,118238.0,118238.0,83.0,83.0,4584.0,4584.0,3.2,3.2,913.0,913.0,0.6,0.6,4991.0,4991.0,3.5,3.5,1242.0,1242.0,0.9,0.9,13018.0,13018.0,9.1,9.1
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2020",106113.0,106113.0,48914.0,48914.0,30165.0,30165.0,62.0,62.0,88971.0,88971.0,84.0,84.0,3847.0,3847.0,3.6,3.6,642.0,642.0,0.6,0.6,3547.0,3547.0,3.3,3.3,1233.0,1233.0,1.2,1.2,3524.0,3524.0,3.3,3.3
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2021",118760.0,118760.0,,,30776.0,30776.0,25.9,25.9,101006.0,101006.0,85.1,85.1,4957.0,4957.0,4.2,4.2,906.0,906.0,0.8,0.8,4006.0,4006.0,3.4,3.4,1294.0,1294.0,1.1,1.1,2132.0,2132.0,1.8,1.8
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2022",139392.0,139392.0,,,36775.0,36775.0,26.4,26.4,121356.0,121356.0,87.1,87.1,5053.0,5053.0,3.6,3.6,889.0,889.0,0.6,0.6,3673.0,3673.0,2.6,2.6,1373.0,1373.0,1.0,1.0,526.0,526.0,0.4,0.4
India,Gujarat,24,"Calendar Year (Jan - Dec), 2017",94412.0,94412.0,63746.0,63746.0,42710.0,42710.0,67.0,67.0,77878.0,77878.0,82.0,82.0,5704.0,5704.0,6.0,6.0,1423.0,1423.0,1.5,1.5,4264.0,4264.0,4.5,4.5,1624.0,1624.0,1.7,1.7,3519.0,3519.0,,
India,Gujarat,24,"Calendar Year (Jan - Dec), 2018",101975.0,101975.0,54749.0,54749.0,41640.0,41640.0,76.0,76.0,86082.0,86082.0,84.0,84.0,5613.0,5613.0,6.0,6.0,1095.0,1095.0,1.0,1.0,3072.0,3072.0,3.0,3.0,1450.0,1450.0,1.0,1.0,466.0,466.0,5.0,5.0
India,Gujarat,24,"Calendar Year (Jan - Dec), 2019",98494.0,98494.0,52704.0,52704.0,41172.0,41172.0,78.0,78.0,84291.0,84291.0,86.0,86.0,5254.0,5254.0,5.3,5.3,1125.0,1125.0,1.1,1.1,2149.0,2149.0,2.2,2.2,2311.0,2311.0,2.3,2.3,3364.0,3364.0,3.4,3.4
