Country,StateName,StateCode,Year,Number_of_tuberculosistb_patients_notified_sum,Number_of_tuberculosistb_patients_notified_avg,Number_of_tuberculosistb_cases_confirmed_bacteriologically_sum,Number_of_tuberculosistb_cases_confirmed_bacteriologically_avg,Number_of_patients_cured_from_tuberculosistb_sum,Number_of_patients_cured_from_tuberculosistb_avg,Percentage_of_patients_cured_from_tuberculosistb_sum,Percentage_of_patients_cured_from_tuberculosistb_avg,Number_of_successful_treatments_for_tuberculosistb_sum,Number_of_successful_treatments_for_tuberculosistb_avg,Percentage_of_successful_treatments_for_tuberculosistb_sum,Percentage_of_successful_treatments_for_tuberculosistb_avg,Number_of_patients_died_due_to_tuberculosistb_sum,Number_of_patients_died_due_to_tuberculosistb_avg,Percentage_of_deaths_due_to_tuberculosistb_sum,Percentage_of_deaths_due_to_tuberculosistb_avg,Number_of_failed_treatments_for_tuberculosistb_sum,Number_of_failed_treatments_for_tuberculosistb_avg,Percentage_of_failed_treatments_for_tuberculosistb_sum,Percentage_of_failed_treatments_for_tuberculosistb_avg,Number_of_tuberculosistb_cases_lost_to_followup_sum,Number_of_tuberculosistb_cases_lost_to_followup_avg,Percentage_of_tuberculosistb_cases_lost_to_followup_sum,Percentage_of_tuberculosistb_cases_lost_to_followup_avg,Number_of_regimen_change_in_tuberculosistb_cases_sum,Number_of_regimen_change_in_tuberculosistb_cases_avg,Percentage_of_regimen_change_in_tuberculosistb_cases_sum,Percentage_of_regimen_change_in_tuberculosistb_cases_avg,Number_of_tuberculosistb_cases_not_evaluated_sum,Number_of_tuberculosistb_cases_not_evaluated_avg,Percentage_of_tuberculosistb_cases_not_evaluated_sum,Percentage_of_tuberculosistb_cases_not_evaluated_avg
India,Gujarat,24,"Calendar Year (Jan - Dec), 2020",77114.0,77114.0,36707.0,36707.0,31039.0,31039.0,85.0,85.0,67086.0,67086.0,87.0,87.0,4250.0,4250.0,5.5,5.5,786.0,786.0,1.0,1.0,1111.0,1111.0,1.4,1.4,1726.0,1726.0,2.2,2.2,155.0,155.0,0.2,0.2
India,Gujarat,24,"Calendar Year (Jan - Dec), 2021",97670.0,97670.0,,,38688.0,38688.0,39.6,39.6,85675.0,85675.0,87.7,87.7,5596.0,5596.0,5.7,5.7,889.0,889.0,0.9,0.9,1316.0,1316.0,1.3,1.3,1911.0,1911.0,2.0,2.0,259.0,259.0,0.3,0.3
India,Gujarat,24,"Calendar Year (Jan - Dec), 2022",105358.0,105358.0,,,40980.0,40980.0,38.9,38.9,93204.0,93204.0,88.5,88.5,5193.0,5193.0,4.9,4.9,933.0,933.0,0.9,0.9,1314.0,1314.0,1.2,1.2,2022.0,2022.0,1.9,1.9,88.0,88.0,0.1,0.1
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2017",113444.0,113444.0,68095.0,68095.0,42900.0,42900.0,63.0,63.0,91615.0,91615.0,81.0,81.0,4993.0,4993.0,4.4,4.4,848.0,848.0,0.7,0.7,5073.0,5073.0,4.5,4.5,1691.0,1691.0,1.5,1.5,9224.0,9224.0,,
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2018",131388.0,131388.0,64121.0,64121.0,44268.0,44268.0,69.0,69.0,107678.0,107678.0,82.0,82.0,5961.0,5961.0,5.0,5.0,895.0,895.0,1.0,1.0,5233.0,5233.0,4.0,4.0,1665.0,1665.0,1.0,1.0,9956.0,9956.0,8.0,8.0
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2019",137098.0,137098.0,67382.0,67382.0,45230.0,45230.0,67.0,67.0,114138.0,114138.0,83.0,83.0,6117.0,6117.0,4.5,4.5,818.0,818.0,0.6,0.6,4425.0,4425.0,3.2,3.2,2628.0,2628.0,1.9,1.9,8972.0,8972.0,6.5,6.5
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2020",94885.0,94885.0,44916.0,44916.0,30921.0,30921.0,69.0,69.0,79205.0,79205.0,83.0,83.0,4574.0,4574.0,4.8,4.8,532.0,532.0,0.6,0.6,1986.0,1986.0,2.1,2.1,2704.0,2704.0,2.8,2.8,578.0,578.0,0.6,0.6
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2021",113920.0,113920.0,,,35151.0,35151.0,30.9,30.9,97090.0,97090.0,85.2,85.2,5199.0,5199.0,4.6,4.6,684.0,684.0,0.6,0.6,2074.0,2074.0,1.8,1.8,3743.0,3743.0,3.3,3.3,356.0,356.0,0.3,0.3
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2022",142704.0,142704.0,,,40901.0,40901.0,28.7,28.7,122692.0,122692.0,86.0,86.0,5927.0,5927.0,4.2,4.2,723.0,723.0,0.5,0.5,2345.0,2345.0,1.6,1.6,4207.0,4207.0,2.9,2.9,481.0,481.0,0.3,0.3
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2017",62841.0,62841.0,40992.0,40992.0,31974.0,31974.0,78.0,78.0,56836.0,56836.0,90.0,90.0,2732.0,2732.0,4.3,4.3,639.0,639.0,1.0,1.0,1585.0,1585.0,2.5,2.5,545.0,545.0,0.9,0.9,504.0,504.0,,
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2018",64460.0,64460.0,39784.0,39784.0,28558.0,28558.0,72.0,72.0,57629.0,57629.0,89.0,89.0,3350.0,3350.0,5.0,5.0,363.0,363.0,1.0,1.0,1280.0,1280.0,2.0,2.0,834.0,834.0,1.0,1.0,1004.0,1004.0,2.0,2.0
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2019",72585.0,72585.0,48943.0,48943.0,36846.0,36846.0,75.0,75.0,64454.0,64454.0,89.0,89.0,3216.0,3216.0,4.4,4.4,261.0,261.0,0.4,0.4,941.0,941.0,1.3,1.3,1363.0,1363.0,1.9,1.9,2350.0,2350.0,3.2,3.2
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2020",45783.0,45783.0,27954.0,27954.0,22134.0,22134.0,79.0,79.0,40487.0,40487.0,88.0,88.0,2210.0,2210.0,4.8,4.8,103.0,103.0,0.2,0.2,349.0,349.0,0.8,0.8,867.0,867.0,1.9,1.9,591.0,591.0,1.3,1.3
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2021",60910.0,60910.0,,,31713.0,31713.0,52.1,52.1,55708.0,55708.0,91.5,91.5,1985.0,1985.0,3.3,3.3,155.0,155.0,0.3,0.3,145.0,145.0,0.2,0.2,1347.0,1347.0,2.2,2.2,81.0,81.0,0.1,0.1
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2022",64105.0,64105.0,,,32946.0,32946.0,51.4,51.4,59817.0,59817.0,93.3,93.3,1352.0,1352.0,2.1,2.1,125.0,125.0,0.2,0.2,55.0,55.0,0.1,0.1,1262.0,1262.0,2.0,2.0,24.0,24.0,0.0,0.0
India,Karnataka,29,"Calendar Year (Jan - Dec), 2017",60894.0,60894.0,46156.0,46156.0,28617.0,28617.0,62.0,62.0,48827.0,48827.0,80.0,80.0,3777.0,3777.0,6.2,6.2,777.0,777.0,1.3,1.3,3920.0,3920.0,6.4,6.4,593.0,593.0,1.0,1.0,3000.0,3000.0,,
India,Karnataka,29,"Calendar Year (Jan - Dec), 2018",65306.0,65306.0,42024.0,42024.0,29063.0,29063.0,69.0,69.0,52728.0,52728.0,81.0,81.0,4408.0,4408.0,7.0,7.0,556.0,556.0,1.0,1.0,3311.0,3311.0,5.0,5.0,691.0,691.0,1.0,1.0,3612.0,3612.0,6.0,6.0
India,Karnataka,29,"Calendar Year (Jan - Dec), 2019",69984.0,69984.0,43474.0,43474.0,30097.0,30097.0,69.0,69.0,56314.0,56314.0,80.0,80.0,4926.0,4926.0,7.0,7.0,614.0,614.0,0.9,0.9,2690.0,2690.0,3.8,3.8,1447.0,1447.0,2.1,2.1,3993.0,3993.0,5.7,5.7
India,Karnataka,29,"Calendar Year (Jan - Dec), 2020",49669.0,49669.0,30794.0,30794.0,22399.0,22399.0,73.0,73.0,40108.0,40108.0,81.0,81.0,3939.0,3939.0,7.9,7.9,333.0,333.0,0.7,0.7,1299.0,1299.0,2.6,2.6,1411.0,1411.0,2.8,2.8,437.0,437.0,0.9,0.9
India,Karnataka,29,"Calendar Year (Jan - Dec), 2021",57309.0,57309.0,,,27008.0,27008.0,47.1,47.1,47044.0,47044.0,82.1,82.1,4719.0,4719.0,8.2,8.2,375.0,375.0,0.7,0.7,1530.0,1530.0,2.7,2.7,1449.0,1449.0,2.5,2.5,187.0,187.0,0.3,0.3
India,Karnataka,29,"Calendar Year (Jan - Dec), 2022",64794.0,64794.0,,,31275.0,31275.0,48.3,48.3,54378.0,54378.0,83.9,83.9,4758.0,4758.0,7.3,7.3,316.0,316.0,0.5,0.5,1494.0,1494.0,2.3,2.3,1769.0,1769.0,2.7,2.7,27.0,27.0,0.0,0.0
India,Goa,30,"Calendar Year (Jan - Dec), 2017",1345.0,1345.0,843.0,843.0,506.0,506.0,60.0,60.0,1176.0,1176.0,87.0,87.0,40.0,40.0,3.0,3.0,17.0,17.0,1.3,1.3,59.0,59.0,4.4,4.4,21.0,21.0,1.6,1.6,32.0,32.0,,
India,Goa,30,"Calendar Year (Jan - Dec), 2018",1733.0,1733.0,1048.0,1048.0,534.0,534.0,51.0,51.0,1379.0,1379.0,80.0,80.0,70.0,70.0,4.0,4.0,19.0,19.0,1.0,1.0,70.0,70.0,4.0,4.0,21.0,21.0,1.0,1.0,174.0,174.0,10.0,10.0
India,Goa,30,"Calendar Year (Jan - Dec), 2019",1820.0,1820.0,1110.0,1110.0,550.0,550.0,50.0,50.0,1456.0,1456.0,80.0,80.0,65.0,65.0,3.6,3.6,13.0,13.0,0.7,0.7,71.0,71.0,3.9,3.9,35.0,35.0,1.9,1.9,180.0,180.0,9.9,9.9
India,Goa,30,"Calendar Year (Jan - Dec), 2020",1277.0,1277.0,776.0,776.0,338.0,338.0,44.0,44.0,1056.0,1056.0,83.0,83.0,84.0,84.0,6.6,6.6,8.0,8.0,0.6,0.6,33.0,33.0,2.6,2.6,26.0,26.0,2.0,2.0,4.0,4.0,0.3,0.3
India,Goa,30,"Calendar Year (Jan - Dec), 2021",1555.0,1555.0,,,442.0,442.0,28.4,28.4,1206.0,1206.0,77.6,77.6,151.0,151.0,9.7,9.7,12.0,12.0,0.8,0.8,57.0,57.0,3.7,3.7,40.0,40.0,2.6,2.6,1.0,1.0,0.1,0.1
India,Goa,30,"Calendar Year (Jan - Dec), 2022",1600.0,1600.0,,,490.0,490.0,30.6,30.6,1184.0,1184.0,74.0,74.0,158.0,158.0,9.9,9.9,18.0,18.0,1.1,1.1,74.0,74.0,4.6,4.6,77.0,77.0,4.8,4.8,3.0,3.0,0.2,0.2
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2017",51.0,51.0,36.0,36.0,29.0,29.0,81.0,81.0,48.0,48.0,94.0,94.0,2.0,2.0,3.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2018",19.0,19.0,10.0,10.0,5.0,5.0,50.0,50.0,18.0,18.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2019",22.0,22.0,12.0,12.0,7.0,7.0,58.0,58.0,14.0,14.0,64.0,64.0,2.0,2.0,9.1,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,27.3,27.3
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2020",17.0,17.0,8.0,8.0,9.0,9.0,113.0,113.0,15.0,15.0,88.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.8,11.8
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2021",20.0,20.0,,,10.0,10.0,50.0,50.0,18.0,18.0,90.0,90.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2022",21.0,21.0,,,15.0,15.0,71.4,71.4,21.0,21.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,Kerala,32,"Calendar Year (Jan - Dec), 2017",16948.0,16948.0,10808.0,10808.0,8106.0,8106.0,75.0,75.0,14899.0,14899.0,88.0,88.0,682.0,682.0,4.0,4.0,186.0,186.0,1.1,1.1,475.0,475.0,2.8,2.8,146.0,146.0,0.9,0.9,560.0,560.0,,
India,Kerala,32,"Calendar Year (Jan - Dec), 2018",21239.0,21239.0,12210.0,12210.0,9990.0,9990.0,82.0,82.0,18882.0,18882.0,89.0,89.0,1057.0,1057.0,5.0,5.0,215.0,215.0,1.0,1.0,450.0,450.0,2.0,2.0,175.0,175.0,1.0,1.0,460.0,460.0,2.0,2.0
India,Kerala,32,"Calendar Year (Jan - Dec), 2019",21868.0,21868.0,13288.0,13288.0,9992.0,9992.0,75.0,75.0,18193.0,18193.0,83.0,83.0,1583.0,1583.0,7.2,7.2,178.0,178.0,0.8,0.8,412.0,412.0,1.9,1.9,228.0,228.0,1.0,1.0,1274.0,1274.0,5.8,5.8
India,Kerala,32,"Calendar Year (Jan - Dec), 2020",17696.0,17696.0,10674.0,10674.0,7538.0,7538.0,71.0,71.0,14459.0,14459.0,82.0,82.0,1379.0,1379.0,7.8,7.8,121.0,121.0,0.7,0.7,310.0,310.0,1.8,1.8,216.0,216.0,1.2,1.2,573.0,573.0,3.2,3.2
India,Kerala,32,"Calendar Year (Jan - Dec), 2021",18765.0,18765.0,,,7931.0,7931.0,42.3,42.3,15159.0,15159.0,80.8,80.8,1484.0,1484.0,7.9,7.9,139.0,139.0,0.7,0.7,392.0,392.0,2.1,2.1,252.0,252.0,1.3,1.3,521.0,521.0,2.8,2.8
India,Kerala,32,"Calendar Year (Jan - Dec), 2022",20277.0,20277.0,,,9056.0,9056.0,44.7,44.7,16772.0,16772.0,82.7,82.7,1686.0,1686.0,8.3,8.3,123.0,123.0,0.6,0.6,483.0,483.0,2.4,2.4,305.0,305.0,1.5,1.5,58.0,58.0,0.3,0.3
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2017",77158.0,77158.0,57068.0,57068.0,38806.0,38806.0,68.0,68.0,63311.0,63311.0,82.0,82.0,3677.0,3677.0,4.8,4.8,878.0,878.0,1.1,1.1,4270.0,4270.0,5.5,5.5,551.0,551.0,0.7,0.7,4471.0,4471.0,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2018",74972.0,74972.0,50810.0,50810.0,38116.0,38116.0,75.0,75.0,63882.0,63882.0,85.0,85.0,3802.0,3802.0,5.0,5.0,507.0,507.0,1.0,1.0,2867.0,2867.0,4.0,4.0,1153.0,1153.0,2.0,2.0,2761.0,2761.0,4.0,4.0
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2019",81550.0,81550.0,55430.0,55430.0,40539.0,40539.0,73.0,73.0,68102.0,68102.0,84.0,84.0,4656.0,4656.0,5.7,5.7,516.0,516.0,0.6,0.6,2506.0,2506.0,3.1,3.1,2036.0,2036.0,2.5,2.5,3734.0,3734.0,4.6,4.6
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2020",53983.0,53983.0,36131.0,36131.0,26817.0,26817.0,74.0,74.0,44529.0,44529.0,82.0,82.0,3437.0,3437.0,6.4,6.4,303.0,303.0,0.6,0.6,1177.0,1177.0,2.2,2.2,1915.0,1915.0,3.5,3.5,612.0,612.0,1.1,1.1
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2021",66774.0,66774.0,,,32559.0,32559.0,48.8,48.8,55491.0,55491.0,83.1,83.1,4393.0,4393.0,6.6,6.6,421.0,421.0,0.6,0.6,1704.0,1704.0,2.6,2.6,1497.0,1497.0,2.2,2.2,446.0,446.0,0.7,0.7
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2022",75937.0,75937.0,,,38061.0,38061.0,50.1,50.1,64618.0,64618.0,85.1,85.1,4667.0,4667.0,6.1,6.1,515.0,515.0,0.7,0.7,1943.0,1943.0,2.6,2.6,1670.0,1670.0,2.2,2.2,35.0,35.0,0.0,0.0
India,Puducherry,34,"Calendar Year (Jan - Dec), 2017",1414.0,1414.0,993.0,993.0,745.0,745.0,75.0,75.0,1206.0,1206.0,85.0,85.0,78.0,78.0,5.5,5.5,25.0,25.0,1.8,1.8,54.0,54.0,3.8,3.8,12.0,12.0,0.8,0.8,39.0,39.0,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2018",1521.0,1521.0,938.0,938.0,720.0,720.0,77.0,77.0,1303.0,1303.0,86.0,86.0,92.0,92.0,6.0,6.0,23.0,23.0,2.0,2.0,53.0,53.0,3.0,3.0,7.0,7.0,0.0,0.0,43.0,43.0,3.0,3.0
India,Puducherry,34,"Calendar Year (Jan - Dec), 2019",1559.0,1559.0,1062.0,1062.0,750.0,750.0,71.0,71.0,1266.0,1266.0,81.0,81.0,116.0,116.0,7.4,7.4,22.0,22.0,1.4,1.4,43.0,43.0,2.8,2.8,36.0,36.0,2.3,2.3,76.0,76.0,4.9,4.9
India,Puducherry,34,"Calendar Year (Jan - Dec), 2020",1219.0,1219.0,826.0,826.0,542.0,542.0,66.0,66.0,993.0,993.0,81.0,81.0,80.0,80.0,6.6,6.6,14.0,14.0,1.1,1.1,28.0,28.0,2.3,2.3,37.0,37.0,3.0,3.0,3.0,3.0,0.2,0.2
India,Puducherry,34,"Calendar Year (Jan - Dec), 2021",1369.0,1369.0,,,593.0,593.0,43.3,43.3,1103.0,1103.0,80.6,80.6,74.0,74.0,5.4,5.4,24.0,24.0,1.8,1.8,33.0,33.0,2.4,2.4,30.0,30.0,2.2,2.2,2.0,2.0,0.1,0.1
India,Puducherry,34,"Calendar Year (Jan - Dec), 2022",1483.0,1483.0,,,673.0,673.0,45.4,45.4,1214.0,1214.0,81.9,81.9,115.0,115.0,7.8,7.8,20.0,20.0,1.3,1.3,40.0,40.0,2.7,2.7,32.0,32.0,2.2,2.2,0.0,0.0,0.0,0.0
India,Andaman and Nicobar Islands,35,"Calendar Year (Jan - Dec), 2017",579.0,579.0,254.0,254.0,178.0,178.0,70.0,70.0,522.0,522.0,90.0,90.0,18.0,18.0,3.1,3.1,3.0,3.0,0.5,0.5,14.0,14.0,2.4,2.4,4.0,4.0,0.7,0.7,18.0,18.0,,
India,Andaman and Nicobar Islands,35,"Calendar Year (Jan - Dec), 2018",503.0,503.0,231.0,231.0,145.0,145.0,63.0,63.0,443.0,443.0,88.0,88.0,12.0,12.0,2.0,2.0,4.0,4.0,1.0,1.0,17.0,17.0,3.0,3.0,6.0,6.0,1.0,1.0,21.0,21.0,4.0,4.0
India,Andaman and Nicobar Islands,35,"Calendar Year (Jan - Dec), 2019",543.0,543.0,285.0,285.0,152.0,152.0,53.0,53.0,455.0,455.0,84.0,84.0,25.0,25.0,4.6,4.6,0.0,0.0,0.0,0.0,17.0,17.0,3.1,3.1,7.0,7.0,1.3,1.3,39.0,39.0,7.2,7.2
India,Andaman and Nicobar Islands,35,"Calendar Year (Jan - Dec), 2020",434.0,434.0,242.0,242.0,141.0,141.0,58.0,58.0,370.0,370.0,85.0,85.0,16.0,16.0,3.7,3.7,3.0,3.0,0.7,0.7,6.0,6.0,1.4,1.4,8.0,8.0,1.8,1.8,1.0,1.0,0.2,0.2
India,Andaman and Nicobar Islands,35,"Calendar Year (Jan - Dec), 2021",479.0,479.0,,,167.0,167.0,34.9,34.9,416.0,416.0,86.8,86.8,12.0,12.0,2.5,2.5,2.0,2.0,0.4,0.4,12.0,12.0,2.5,2.5,10.0,10.0,2.1,2.1,3.0,3.0,0.6,0.6
India,Andaman and Nicobar Islands,35,"Calendar Year (Jan - Dec), 2022",504.0,504.0,,,225.0,225.0,44.6,44.6,429.0,429.0,85.1,85.1,14.0,14.0,2.8,2.8,8.0,8.0,1.6,1.6,16.0,16.0,3.2,3.2,13.0,13.0,2.6,2.6,0.0,0.0,0.0,0.0
India,Telangana,36,"Calendar Year (Jan - Dec), 2017",36878.0,36878.0,26182.0,26182.0,17542.0,17542.0,67.0,67.0,30885.0,30885.0,84.0,84.0,1460.0,1460.0,4.0,4.0,508.0,508.0,1.4,1.4,1168.0,1168.0,3.2,3.2,332.0,332.0,0.9,0.9,2525.0,2525.0,,
India,Telangana,36,"Calendar Year (Jan - Dec), 2018",41007.0,41007.0,26616.0,26616.0,20540.0,20540.0,77.0,77.0,36905.0,36905.0,90.0,90.0,1692.0,1692.0,4.0,4.0,327.0,327.0,1.0,1.0,731.0,731.0,2.0,2.0,364.0,364.0,1.0,1.0,988.0,988.0,2.0,2.0
India,Telangana,36,"Calendar Year (Jan - Dec), 2019",47325.0,47325.0,29476.0,29476.0,23876.0,23876.0,81.0,81.0,41473.0,41473.0,88.0,88.0,1848.0,1848.0,3.9,3.9,275.0,275.0,0.6,0.6,458.0,458.0,1.0,1.0,648.0,648.0,1.4,1.4,2623.0,2623.0,5.5,5.5
India,Telangana,36,"Calendar Year (Jan - Dec), 2020",39396.0,39396.0,21593.0,21593.0,19321.0,19321.0,89.0,89.0,34431.0,34431.0,87.0,87.0,1358.0,1358.0,3.4,3.4,165.0,165.0,0.4,0.4,246.0,246.0,0.6,0.6,1033.0,1033.0,2.6,2.6,1015.0,1015.0,2.6,2.6
India,Telangana,36,"Calendar Year (Jan - Dec), 2021",42822.0,42822.0,,,21309.0,21309.0,49.8,49.8,38805.0,38805.0,90.6,90.6,1340.0,1340.0,3.1,3.1,209.0,209.0,0.5,0.5,316.0,316.0,0.7,0.7,562.0,562.0,1.3,1.3,437.0,437.0,1.0,1.0
India,Telangana,36,"Calendar Year (Jan - Dec), 2022",52958.0,52958.0,,,24642.0,24642.0,46.5,46.5,48219.0,48219.0,91.1,91.1,1428.0,1428.0,2.7,2.7,232.0,232.0,0.4,0.4,306.0,306.0,0.6,0.6,854.0,854.0,1.6,1.6,212.0,212.0,0.4,0.4
India,Ladakh,37,"Calendar Year (Jan - Dec), 2017",174.8320076281,174.8320076281,121.8115163869,121.8115163869,58.4669030889,58.4669030889,48.0,48.0,120.45538171,120.45538171,69.0,69.0,4.1777697306,4.1777697306,2.4,2.4,1.5311197966,1.5311197966,0.9,0.9,3.4340829723,3.4340829723,2.0,2.0,0.874925598,0.874925598,0.5,0.5,44.3587278206,44.3587278206,,
India,Ladakh,37,"Calendar Year (Jan - Dec), 2018",240.0577109619,240.0577109619,126.3392563568,126.3392563568,86.7488730455,86.7488730455,69.0,69.0,200.7735516099,200.7735516099,84.0,84.0,6.0151134865,6.0151134865,3.0,3.0,1.5967392164,1.5967392164,1.0,1.0,5.0308221887,5.0308221887,2.0,2.0,0.9405450179,0.9405450179,0.0,0.0,25.7009394424,25.7009394424,11.0,11.0
India,Ladakh,37,"Calendar Year (Jan - Dec), 2019",367.0,367.0,203.0,203.0,98.0,98.0,48.0,48.0,312.0,312.0,85.0,85.0,22.0,22.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.3,0.0,0.0,0.0,0.0,32.0,32.0,8.7,8.7
India,Ladakh,37,"Calendar Year (Jan - Dec), 2020",226.0,226.0,122.0,122.0,51.0,51.0,42.0,42.0,171.0,171.0,76.0,76.0,19.0,19.0,8.4,8.4,2.0,2.0,0.9,0.9,4.0,4.0,1.8,1.8,1.0,1.0,0.4,0.4,18.0,18.0,8.0,8.0
India,Ladakh,37,"Calendar Year (Jan - Dec), 2021",295.0,295.0,,,120.0,120.0,40.7,40.7,242.0,242.0,82.0,82.0,21.0,21.0,7.1,7.1,2.0,2.0,0.7,0.7,4.0,4.0,1.4,1.4,3.0,3.0,1.0,1.0,4.0,4.0,1.4,1.4
India,Ladakh,37,"Calendar Year (Jan - Dec), 2022",332.0,332.0,,,190.0,190.0,57.2,57.2,293.0,293.0,88.3,88.3,16.0,16.0,4.8,4.8,2.0,2.0,0.6,0.6,1.0,1.0,0.3,0.3,1.0,1.0,0.3,0.3,0.0,0.0,0.0,0.0
India,The Dadra and Nagar Haveli and Daman and Diu,38,"Calendar Year (Jan - Dec), 2017",1102.0,1102.0,529.0,529.0,368.0,368.0,62.7556252787,62.7556252787,983.0,983.0,85.1704168525,85.1704168525,30.0,30.0,3.3244374721,3.3244374721,1.0,1.0,0.1892053532,0.1892053532,56.0,56.0,8.1591189096,8.1591189096,3.0,3.0,0.3522738042,0.3522738042,29.0,29.0,,
India,The Dadra and Nagar Haveli and Daman and Diu,38,"Calendar Year (Jan - Dec), 2018",861.0,861.0,305.0,305.0,244.0,244.0,75.801101363,75.801101363,759.0,759.0,85.4317858735,85.4317858735,29.0,29.0,3.3693154895,3.3693154895,6.0,6.0,1.0,1.0,36.0,36.0,6.3068451054,6.3068451054,15.0,15.0,2.2613690211,2.2613690211,16.0,16.0,2.2613690211,2.2613690211
India,The Dadra and Nagar Haveli and Daman and Diu,38,"Calendar Year (Jan - Dec), 2019",827.0,827.0,372.0,372.0,311.0,311.0,84.0,84.0,754.0,754.0,91.0,91.0,23.0,23.0,2.8,2.8,3.0,3.0,0.4,0.4,23.0,23.0,2.8,2.8,8.0,8.0,1.0,1.0,16.0,16.0,1.9,1.9
India,The Dadra and Nagar Haveli and Daman and Diu,38,"Calendar Year (Jan - Dec), 2020",661.0,661.0,306.0,306.0,279.0,279.0,91.0,91.0,616.0,616.0,93.0,93.0,16.0,16.0,2.4,2.4,2.0,2.0,0.3,0.3,5.0,5.0,0.8,0.8,1.0,1.0,0.2,0.2,7.0,7.0,1.1,1.1
India,The Dadra and Nagar Haveli and Daman and Diu,38,"Calendar Year (Jan - Dec), 2021",681.0,681.0,,,268.0,268.0,39.4,39.4,627.0,627.0,92.1,92.1,29.0,29.0,4.3,4.3,2.0,2.0,0.3,0.3,2.0,2.0,0.3,0.3,4.0,4.0,0.6,0.6,2.0,2.0,0.3,0.3
India,The Dadra and Nagar Haveli and Daman and Diu,38,"Calendar Year (Jan - Dec), 2022",821.0,821.0,,,327.0,327.0,39.8,39.8,771.0,771.0,93.9,93.9,23.0,23.0,2.8,2.8,2.0,2.0,0.2,0.2,1.0,1.0,0.1,0.1,10.0,10.0,1.2,1.2,0.0,0.0,0.0,0.0
