Country,StateName,StateCode,Year,Number_of_districts_partly_or_wholly_as_tribal_district_sum,Number_of_districts_partly_or_wholly_as_tribal_district_avg,Number_of_tribal_Tuberculosis_TB_patients_notified_based_on_diagnosing_Public_Health_Information_PHI_under_public_sector_sum,Number_of_tribal_Tuberculosis_TB_patients_notified_based_on_diagnosing_Public_Health_Information_PHI_under_public_sector_avg,Percentage_of_tribal_Tuberculosis_TB_patients_notified_based_on_diagnosing_Public_Health_Information_PHI_under_public_sector_sum,Percentage_of_tribal_Tuberculosis_TB_patients_notified_based_on_diagnosing_Public_Health_Information_PHI_under_public_sector_avg,Number_of_tribal_TuberculosisTB_patients_notified_based_on_diagnosing_Public_Health_Information_PHI_under_private_sector_sum,Number_of_tribal_TuberculosisTB_patients_notified_based_on_diagnosing_Public_Health_Information_PHI_under_private_sector_avg,Percentage_of_tribal_Tuberculosis_TB_patients_notified_based_on_diagnosing_Public_Health_Information_PHI_under_private_sector_sum,Percentage_of_tribal_Tuberculosis_TB_patients_notified_based_on_diagnosing_Public_Health_Information_PHI_under_private_sector_avg,Net_tribal_Tuberculosis_TB_patients_notified_based_on_current_Public_Health_Information_PHI_under_public_sector_sum,Net_tribal_Tuberculosis_TB_patients_notified_based_on_current_Public_Health_Information_PHI_under_public_sector_avg,Percentage_of_Net_tribal_Tuberculosis_TB_patients_notified_based_on_current_Public_Health_Information_PHI_under_public_sector_sum,Percentage_of_Net_tribal_Tuberculosis_TB_patients_notified_based_on_current_Public_Health_Information_PHI_under_public_sector_avg,Net_tribal_Tuberculosis_TB_patients_notified_based_on_current_Public_Health_Information_PHI_under_private_sector_sum,Net_tribal_Tuberculosis_TB_patients_notified_based_on_current_Public_Health_Information_PHI_under_private_sector_avg,Percentage_of_Net_tribal_Tuberculosis_TB_patients_notified_based_on_current_Public_Health_Information_PHI_under_private_sector_sum,Percentage_of_Net_tribal_Tuberculosis_TB_patients_notified_based_on_current_Public_Health_Information_PHI_under_private_sector_avg,Tribal_Tuberculosis_TB_patients_initiated_on_treatment_under_public_sector_sum,Tribal_Tuberculosis_TB_patients_initiated_on_treatment_under_public_sector_avg,Percentage_of_Tribal_Tuberculosis_TB_patients_initiated_on_treatment_under_public_sector_sum,Percentage_of_Tribal_Tuberculosis_TB_patients_initiated_on_treatment_under_public_sector_avg,Tribal_Tuberculosis_TB_patients_initiated_on_treatment_under_private_sector_sum,Tribal_Tuberculosis_TB_patients_initiated_on_treatment_under_private_sector_avg,Percentage_of_tribal_Tuberculosis_TB_patients_initiated_on_treatment_under_private_sector_sum,Percentage_of_tribal_Tuberculosis_TB_patients_initiated_on_treatment_under_private_sector_avg,Percentage_of_persons_notified_under_public_sector_sum,Percentage_of_persons_notified_under_public_sector_avg,Percentage_of_persons_notified_under_private_sector_sum,Percentage_of_persons_notified_under_private_sector_avg
India,Assam,18,"Calendar Year (Jan - Dec), 2020",,,8183.0,8183.0,,,839.0,839.0,,,,,,,,,,,41070.0,41070.0,,,5227.0,5227.0,,,95.0,95.0,92.0,92.0
India,Assam,18,"Calendar Year (Jan - Dec), 2021",7.0,7.0,5612.0,5612.0,,,456.0,456.0,,,5659.0,5659.0,,,458.0,458.0,,,5512.0,5512.0,,,455.0,455.0,,,97.0,97.0,99.0,99.0
India,Assam,18,"Calendar Year (Jan - Dec), 2022",7.0,7.0,6132.0,6132.0,,,818.0,818.0,,,6394.0,6394.0,,,674.0,674.0,,,6226.0,6226.0,,,653.0,653.0,,,97.4,97.4,96.9,96.9
India,Assam,18,"Calendar Year (Jan - Dec), 2023",7.0,7.0,7374.0,7374.0,,,1044.0,1044.0,,,7595.0,7595.0,,,946.0,946.0,,,7336.0,7336.0,,,884.0,884.0,,,96.6,96.6,93.4,93.4
India,Assam,18,"Calendar Year (Jan - Dec), 2024",9.0,9.0,7532.0,7532.0,86.0,86.0,1223.0,1223.0,14.0,14.0,8086.0,8086.0,87.9,87.9,1109.0,1109.0,12.06,12.06,7797.0,7797.0,96.4,96.4,1050.0,1050.0,94.7,94.7,,,,
India,West Bengal,19,"Calendar Year (Jan - Dec), 2020",,,7.0,7.0,,,6.0,6.0,,,,,,,,,,,91401.0,91401.0,,,15429.0,15429.0,,,97.0,97.0,91.0,91.0
India,West Bengal,19,"Calendar Year (Jan - Dec), 2022",,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,
India,West Bengal,19,"Calendar Year (Jan - Dec), 2023",0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,
India,West Bengal,19,"Calendar Year (Jan - Dec), 2024",0.0,0.0,1.0,1.0,100.0,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2020",,,25627.0,25627.0,,,7462.0,7462.0,,,,,,,,,,,43506.0,43506.0,,,12651.0,12651.0,,,97.0,97.0,99.0,99.0
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2021",15.0,15.0,17424.0,17424.0,,,8411.0,8411.0,,,17738.0,17738.0,,,8229.0,8229.0,,,16668.0,16668.0,,,8185.0,8185.0,,,94.0,94.0,99.0,99.0
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2022",15.0,15.0,18847.0,18847.0,,,9253.0,9253.0,,,19102.0,19102.0,,,9000.0,9000.0,,,18192.0,18192.0,,,8965.0,8965.0,,,95.2,95.2,99.6,99.6
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2023",15.0,15.0,24708.0,24708.0,,,7463.0,7463.0,,,26271.0,26271.0,,,6117.0,6117.0,,,25228.0,25228.0,,,6025.0,6025.0,,,96.0,96.0,98.5,98.5
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2024",14.0,14.0,24956.0,24956.0,75.6,75.6,8037.0,8037.0,24.4,24.4,28922.0,28922.0,82.7,82.7,6048.0,6048.0,17.29,17.29,28112.0,28112.0,97.2,97.2,5940.0,5940.0,98.2,98.2,,,,
India,Odisha,21,"Calendar Year (Jan - Dec), 2020",,,21049.0,21049.0,,,1334.0,1334.0,,,,,,,,,,,48231.0,48231.0,,,3749.0,3749.0,,,98.0,98.0,94.0,94.0
India,Odisha,21,"Calendar Year (Jan - Dec), 2021",13.0,13.0,16654.0,16654.0,,,1688.0,1688.0,,,18181.0,18181.0,,,1091.0,1091.0,,,17832.0,17832.0,,,1067.0,1067.0,,,98.0,98.0,98.0,98.0
India,Odisha,21,"Calendar Year (Jan - Dec), 2022",13.0,13.0,18056.0,18056.0,,,2253.0,2253.0,,,20276.0,20276.0,,,1020.0,1020.0,,,20194.0,20194.0,,,1004.0,1004.0,,,99.6,99.6,98.4,98.4
India,Odisha,21,"Calendar Year (Jan - Dec), 2023",13.0,13.0,20280.0,20280.0,,,3223.0,3223.0,,,23658.0,23658.0,,,813.0,813.0,,,23225.0,23225.0,,,772.0,772.0,,,98.2,98.2,95.0,95.0
India,Odisha,21,"Calendar Year (Jan - Dec), 2024",13.0,13.0,20715.0,20715.0,88.6,88.6,2674.0,2674.0,11.4,11.4,24331.0,24331.0,96.0,96.0,1001.0,1001.0,3.95,3.95,23806.0,23806.0,97.8,97.8,916.0,916.0,91.5,91.5,,,,
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2020",,,13865.0,13865.0,,,2050.0,2050.0,,,,,,,,,,,32397.0,32397.0,,,10892.0,10892.0,,,99.0,99.0,98.0,98.0
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2021",19.0,19.0,8883.0,8883.0,,,1118.0,1118.0,,,9471.0,9471.0,,,1153.0,1153.0,,,9363.0,9363.0,,,1146.0,1146.0,,,99.0,99.0,99.0,99.0
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2022",19.0,19.0,9785.0,9785.0,,,1025.0,1025.0,,,10664.0,10664.0,,,980.0,980.0,,,10481.0,10481.0,,,938.0,938.0,,,98.3,98.3,95.7,95.7
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2023",20.0,20.0,11630.0,11630.0,,,1774.0,1774.0,,,12899.0,12899.0,,,1473.0,1473.0,,,12656.0,12656.0,,,1467.0,1467.0,,,98.1,98.1,99.6,99.6
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2024",21.0,21.0,10265.0,10265.0,84.8,84.8,1840.0,1840.0,15.2,15.2,12068.0,12068.0,89.8,89.8,1367.0,1367.0,10.17,10.17,11786.0,11786.0,97.7,97.7,1349.0,1349.0,98.7,98.7,,,,
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2020",,,34007.0,34007.0,,,6922.0,6922.0,,,,,,,,,,,139235.0,139235.0,,,39279.0,39279.0,,,95.0,95.0,96.0,96.0
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2021",25.0,25.0,19981.0,19981.0,,,4344.0,4344.0,,,21567.0,21567.0,,,3071.0,3071.0,,,21031.0,21031.0,,,2954.0,2954.0,,,98.0,98.0,96.0,96.0
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2022",20.0,20.0,18210.0,18210.0,,,6470.0,6470.0,,,21239.0,21239.0,,,5007.0,5007.0,,,20788.0,20788.0,,,4903.0,4903.0,,,97.9,97.9,97.9,97.9
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2023",20.0,20.0,23282.0,23282.0,,,5017.0,5017.0,,,25685.0,25685.0,,,4362.0,4362.0,,,24806.0,24806.0,,,4271.0,4271.0,,,96.6,96.6,97.9,97.9
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2024",20.0,20.0,21352.0,21352.0,78.6,78.6,5805.0,5805.0,21.4,21.4,24393.0,24393.0,83.3,83.3,4875.0,4875.0,16.66,16.66,23511.0,23511.0,96.4,96.4,4798.0,4798.0,98.4,98.4,,,,
India,Gujarat,24,"Calendar Year (Jan - Dec), 2020",,,20326.0,20326.0,,,5701.0,5701.0,,,,,,,,,,,99970.0,99970.0,,,52707.0,52707.0,,,97.0,97.0,99.0,99.0
India,Gujarat,24,"Calendar Year (Jan - Dec), 2021",14.0,14.0,14531.0,14531.0,,,4081.0,4081.0,,,15716.0,15716.0,,,3969.0,3969.0,,,15362.0,15362.0,,,3948.0,3948.0,,,98.0,98.0,99.0,99.0
India,Gujarat,24,"Calendar Year (Jan - Dec), 2022",14.0,14.0,16631.0,16631.0,,,5369.0,5369.0,,,18624.0,18624.0,,,3828.0,3828.0,,,18245.0,18245.0,,,3815.0,3815.0,,,98.0,98.0,99.7,99.7
India,Gujarat,24,"Calendar Year (Jan - Dec), 2023",14.0,14.0,18177.0,18177.0,,,5852.0,5852.0,,,20642.0,20642.0,,,3873.0,3873.0,,,20002.0,20002.0,,,3850.0,3850.0,,,96.9,96.9,99.4,99.4
India,Gujarat,24,"Calendar Year (Jan - Dec), 2024",14.0,14.0,16728.0,16728.0,74.1,74.1,5832.0,5832.0,25.9,25.9,19567.0,19567.0,82.3,82.3,4214.0,4214.0,17.72,17.72,19182.0,19182.0,98.0,98.0,4194.0,4194.0,99.5,99.5,,,,
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2020",,,16180.0,16180.0,,,3309.0,3309.0,,,,,,,,,,,140986.0,140986.0,,,70985.0,70985.0,,,95.0,95.0,93.0,93.0
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2021",15.0,15.0,8929.0,8929.0,,,1940.0,1940.0,,,10802.0,10802.0,,,1372.0,1372.0,,,10385.0,10385.0,,,1333.0,1333.0,,,96.0,96.0,97.0,97.0
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2022",15.0,15.0,10479.0,10479.0,,,2562.0,2562.0,,,12940.0,12940.0,,,1759.0,1759.0,,,12503.0,12503.0,,,1731.0,1731.0,,,96.6,96.6,98.4,98.4
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2023",16.0,16.0,14502.0,14502.0,,,3954.0,3954.0,,,17638.0,17638.0,,,2810.0,2810.0,,,17057.0,17057.0,,,2751.0,2751.0,,,96.7,96.7,97.9,97.9
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2024",16.0,16.0,12641.0,12641.0,75.5,75.5,4094.0,4094.0,24.5,24.5,16815.0,16815.0,84.9,84.9,2993.0,2993.0,15.11,15.11,15974.0,15974.0,95.0,95.0,2924.0,2924.0,97.7,97.7,,,,
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2020",,,13659.0,13659.0,,,2305.0,2305.0,,,,,,,,,,,74664.0,74664.0,,,23821.0,23821.0,,,98.0,98.0,99.0,99.0
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2021",8.0,8.0,7048.0,7048.0,,,1381.0,1381.0,,,7160.0,7160.0,,,1239.0,1239.0,,,6995.0,6995.0,,,1234.0,1234.0,,,98.0,98.0,100.0,100.0
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2022",8.0,8.0,9257.0,9257.0,,,2596.0,2596.0,,,9460.0,9460.0,,,2351.0,2351.0,,,9253.0,9253.0,,,2347.0,2347.0,,,97.8,97.8,99.8,99.8
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2023",8.0,8.0,9284.0,9284.0,,,3015.0,3015.0,,,10054.0,10054.0,,,2494.0,2494.0,,,9866.0,9866.0,,,2489.0,2489.0,,,98.1,98.1,99.8,99.8
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2024",8.0,8.0,5567.0,5567.0,66.5,66.5,2810.0,2810.0,33.5,33.5,5452.0,5452.0,71.0,71.0,2227.0,2227.0,29.0,29.0,5352.0,5352.0,98.2,98.2,2220.0,2220.0,99.7,99.7,,,,
India,Karnataka,29,"Calendar Year (Jan - Dec), 2020",,,3596.0,3596.0,,,319.0,319.0,,,,,,,,,,,69591.0,69591.0,,,15167.0,15167.0,,,95.0,95.0,90.0,90.0
India,Karnataka,29,"Calendar Year (Jan - Dec), 2021",3.0,3.0,1536.0,1536.0,,,124.0,124.0,,,2208.0,2208.0,,,33.0,33.0,,,2082.0,2082.0,,,33.0,33.0,,,94.0,94.0,100.0,100.0
India,Karnataka,29,"Calendar Year (Jan - Dec), 2022",4.0,4.0,1836.0,1836.0,,,287.0,287.0,,,2684.0,2684.0,,,110.0,110.0,,,2274.0,2274.0,,,64.0,64.0,,,84.7,84.7,58.2,58.2
India,Karnataka,29,"Calendar Year (Jan - Dec), 2023",3.0,3.0,1715.0,1715.0,,,290.0,290.0,,,2651.0,2651.0,,,125.0,125.0,,,2579.0,2579.0,,,122.0,122.0,,,97.3,97.3,97.6,97.6
India,Karnataka,29,"Calendar Year (Jan - Dec), 2024",3.0,3.0,1607.0,1607.0,79.1,79.1,424.0,424.0,20.9,20.9,2588.0,2588.0,94.7,94.7,144.0,144.0,5.27,5.27,2514.0,2514.0,97.1,97.1,138.0,138.0,95.8,95.8,,,,
India,Goa,30,"Calendar Year (Jan - Dec), 2020",,,,,,,,,,,,,,,,,,,1704.0,1704.0,,,448.0,448.0,,,90.0,90.0,97.0,97.0
India,Goa,30,"Calendar Year (Jan - Dec), 2022",,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,
India,Goa,30,"Calendar Year (Jan - Dec), 2023",0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,
India,Goa,30,"Calendar Year (Jan - Dec), 2024",0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2020",,,16.0,16.0,,,0.0,0.0,,,,,,,,,,,16.0,16.0,,,,,,,100.0,100.0,0.0,0.0
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2021",1.0,1.0,20.0,20.0,,,0.0,0.0,,,19.0,19.0,,,0.0,0.0,,,19.0,19.0,,,,,,,100.0,100.0,,
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2022",1.0,1.0,12.0,12.0,,,0.0,0.0,,,20.0,20.0,,,0.0,0.0,,,20.0,20.0,,,,,,,100.0,100.0,,
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2023",0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2024",0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Kerala,32,"Calendar Year (Jan - Dec), 2020",,,1030.0,1030.0,,,158.0,158.0,,,,,,,,,,,21724.0,21724.0,,,3246.0,3246.0,,,98.0,98.0,95.0,95.0
India,Kerala,32,"Calendar Year (Jan - Dec), 2021",4.0,4.0,316.0,316.0,,,96.0,96.0,,,843.0,843.0,,,38.0,38.0,,,832.0,832.0,,,33.0,33.0,,,99.0,99.0,87.0,87.0
India,Kerala,32,"Calendar Year (Jan - Dec), 2022",4.0,4.0,367.0,367.0,,,86.0,86.0,,,796.0,796.0,,,17.0,17.0,,,786.0,786.0,,,13.0,13.0,,,98.7,98.7,76.5,76.5
India,Kerala,32,"Calendar Year (Jan - Dec), 2023",4.0,4.0,383.0,383.0,,,108.0,108.0,,,895.0,895.0,,,14.0,14.0,,,870.0,870.0,,,13.0,13.0,,,97.2,97.2,92.9,92.9
India,Kerala,32,"Calendar Year (Jan - Dec), 2024",4.0,4.0,406.0,406.0,85.5,85.5,69.0,69.0,14.5,14.5,815.0,815.0,97.8,97.8,18.0,18.0,2.16,2.16,802.0,802.0,98.4,98.4,13.0,13.0,72.2,72.2,,,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2020",,,1134.0,1134.0,,,74.0,74.0,,,,,,,,,,,82635.0,82635.0,,,26557.0,26557.0,,,97.0,97.0,95.0,95.0
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2021",6.0,6.0,337.0,337.0,,,20.0,20.0,,,600.0,600.0,,,23.0,23.0,,,591.0,591.0,,,23.0,23.0,,,99.0,99.0,100.0,100.0
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2022",,,171.0,171.0,,,6.0,6.0,,,442.0,442.0,,,1.0,1.0,,,440.0,440.0,,,1.0,1.0,,,99.5,99.5,100.0,100.0
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2023",7.0,7.0,201.0,201.0,,,6.0,6.0,,,555.0,555.0,,,0.0,0.0,,,546.0,546.0,,,0.0,0.0,,,98.4,98.4,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2024",7.0,7.0,193.0,193.0,98.5,98.5,3.0,3.0,1.5,1.5,557.0,557.0,98.2,98.2,10.0,10.0,1.76,1.76,546.0,546.0,98.0,98.0,10.0,10.0,100.0,100.0,,,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2020",,,,,,,,,,,,,,,,,,,1586.0,1586.0,,,4.0,4.0,,,96.0,96.0,67.0,67.0
India,Puducherry,34,"Calendar Year (Jan - Dec), 2022",,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2023",0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2024",0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2020",,,67.0,67.0,,,0.0,0.0,,,,,,,,,,,556.0,556.0,,,10.0,10.0,,,93.0,93.0,83.0,83.0
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2021",1.0,1.0,52.0,52.0,,,0.0,0.0,,,79.0,79.0,,,0.0,0.0,,,79.0,79.0,,,100.0,100.0,,,,,,
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2022",,,59.0,59.0,,,0.0,0.0,,,63.0,63.0,,,0.0,0.0,,,62.0,62.0,,,,,,,98.4,98.4,,
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2023",1.0,1.0,95.0,95.0,,,0.0,0.0,,,92.0,92.0,,,0.0,0.0,,,91.0,91.0,,,0.0,0.0,,,98.9,98.9,,
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2024",1.0,1.0,66.0,66.0,100.0,100.0,0.0,0.0,0.0,0.0,87.0,87.0,100.0,100.0,0.0,0.0,0.0,0.0,80.0,80.0,92.0,92.0,,,,,,,,
India,Telangana,36,"Calendar Year (Jan - Dec), 2020",,,8550.0,8550.0,,,3537.0,3537.0,,,,,,,,,,,47662.0,47662.0,,,21769.0,21769.0,,,97.0,97.0,98.0,98.0
India,Telangana,36,"Calendar Year (Jan - Dec), 2021",9.0,9.0,6030.0,6030.0,,,3221.0,3221.0,,,5848.0,5848.0,,,3348.0,3348.0,,,5680.0,5680.0,,,3329.0,3329.0,,,97.0,97.0,99.0,99.0
India,Telangana,36,"Calendar Year (Jan - Dec), 2022",8.0,8.0,5096.0,5096.0,,,2053.0,2053.0,,,5235.0,5235.0,,,2060.0,2060.0,,,5112.0,5112.0,,,2046.0,2046.0,,,97.7,97.7,99.3,99.3
India,Telangana,36,"Calendar Year (Jan - Dec), 2023",8.0,8.0,5506.0,5506.0,,,1929.0,1929.0,,,6512.0,6512.0,,,1559.0,1559.0,,,6292.0,6292.0,,,1534.0,1534.0,,,96.6,96.6,98.4,98.4
India,Telangana,36,"Calendar Year (Jan - Dec), 2024",8.0,8.0,5027.0,5027.0,75.0,75.0,1674.0,1674.0,25.0,25.0,5915.0,5915.0,80.4,80.4,1439.0,1439.0,19.57,19.57,5585.0,5585.0,94.4,94.4,1371.0,1371.0,95.3,95.3,,,,
India,Ladakh,37,"Calendar Year (Jan - Dec), 2020",,,17.1266685816,17.1266685816,,,0.8530524581,0.8530524581,,,,,,,,,,,232.2927462793,232.2927462793,,,16.0111384441,16.0111384441,,,95.0,95.0,95.0,95.0
India,Ladakh,37,"Calendar Year (Jan - Dec), 2021",2.0,2.0,232.0,232.0,,,7.0,7.0,,,230.0,230.0,,,17.0,17.0,,,225.0,225.0,,,17.0,17.0,,,98.0,98.0,100.0,100.0
India,Ladakh,37,"Calendar Year (Jan - Dec), 2022",2.0,2.0,280.0,280.0,,,11.0,11.0,,,286.0,286.0,,,24.0,24.0,,,275.0,275.0,,,24.0,24.0,,,96.2,96.2,100.0,100.0
India,Ladakh,37,"Calendar Year (Jan - Dec), 2023",2.0,2.0,303.0,303.0,,,9.0,9.0,,,319.0,319.0,,,11.0,11.0,,,303.0,303.0,,,9.0,9.0,,,95.0,95.0,81.8,81.8
India,Ladakh,37,"Calendar Year (Jan - Dec), 2024",2.0,2.0,261.0,261.0,97.0,97.0,8.0,8.0,3.0,3.0,323.0,323.0,97.6,97.6,8.0,8.0,2.42,2.42,299.0,299.0,92.6,92.6,8.0,8.0,100.0,100.0,,,,
India,The Dadra And Nagar Haveli And Daman And Diu,38,"Calendar Year (Jan - Dec), 2020",,,912.0,912.0,,,45.0,45.0,,,,,,,,,,,862.0,862.0,,,156.0,156.0,,,98.5,98.5,100.0,100.0
India,The Dadra And Nagar Haveli And Daman And Diu,38,"Calendar Year (Jan - Dec), 2021",1.0,1.0,587.0,587.0,,,56.0,56.0,,,437.0,437.0,,,53.0,53.0,,,427.0,427.0,,,52.0,52.0,,,98.0,98.0,98.0,98.0
India,The Dadra And Nagar Haveli And Daman And Diu,38,"Calendar Year (Jan - Dec), 2022",1.0,1.0,643.0,643.0,,,45.0,45.0,,,432.0,432.0,,,38.0,38.0,,,426.0,426.0,,,38.0,38.0,,,98.6,98.6,100.0,100.0
India,The Dadra And Nagar Haveli And Daman And Diu,38,"Calendar Year (Jan - Dec), 2023",1.0,1.0,916.0,916.0,,,73.0,73.0,,,505.0,505.0,,,61.0,61.0,,,496.0,496.0,,,61.0,61.0,,,98.2,98.2,100.0,100.0
