Country,StateName,StateCode,Year,I1279_3_sum,I1279_3_avg,I1279_4_sum,I1279_4_avg,I1279_11_sum,I1279_11_avg,I1279_5_sum,I1279_5_avg,I1279_12_sum,I1279_12_avg,I1279_6_sum,I1279_6_avg,I1279_13_sum,I1279_13_avg,I1279_7_sum,I1279_7_avg,I1279_14_sum,I1279_14_avg,I1279_8_sum,I1279_8_avg,I1279_15_sum,I1279_15_avg,I1279_9_sum,I1279_9_avg,I1279_16_sum,I1279_16_avg,I1279_10_sum,I1279_10_avg,I1279_17_sum,I1279_17_avg,I1279_18_sum,I1279_18_avg
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2017",6668.8689318143,6668.8689318143,2075.585197024,2075.585197024,31.0,31.0,4711.6370848562,4711.6370848562,71.0,71.0,137.9158872669,137.9158872669,2.0,2.0,104.6595740252,104.6595740252,2.0,2.0,39.125074402,39.125074402,1.0,1.0,22.4969177811,22.4969177811,0.0,0.0,1653.0343934829,1653.0343934829,,,,
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2018",9269.7082526847,9269.7082526847,3013.6088558111,3013.6088558111,68.0,68.0,7748.7209853084,7748.7209853084,84.0,84.0,209.3191480505,209.3191480505,2.0,2.0,158.4565513279,158.4565513279,2.0,2.0,42.0594549821,42.0594549821,0.0,0.0,33.2563132417,33.2563132417,0.0,0.0,1077.895799774,1077.895799774,12.0,12.0,4438.7396909025,4438.7396909025
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2019",9598.0,9598.0,3189.0,3189.0,70.0,70.0,8186.0,8186.0,85.0,85.0,252.0,252.0,2.6,2.6,135.0,135.0,1.4,1.4,36.0,36.0,0.4,0.4,56.0,56.0,0.6,0.6,933.0,933.0,9.7,9.7,4526.0,4526.0
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2020",7258.0,7258.0,2477.0,2477.0,72.0,72.0,6035.0,6035.0,83.0,83.0,249.0,249.0,3.4,3.4,94.0,94.0,1.3,1.3,37.0,37.0,0.5,0.5,58.0,58.0,0.8,0.8,392.0,392.0,5.4,5.4,3420.0,3420.0
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2021",9135.0,9135.0,3251.0,3251.0,35.6,35.6,7840.0,7840.0,85.8,85.8,337.0,337.0,3.7,3.7,143.0,143.0,1.6,1.6,55.0,55.0,0.6,0.6,75.0,75.0,0.8,0.8,81.0,81.0,0.9,0.9,,
India,Jammu And Kashmir,1,"Calendar Year (Jan - Dec), 2022",9836.0,9836.0,3828.0,3828.0,38.9,38.9,8557.0,8557.0,87.0,87.0,374.0,374.0,3.8,3.8,113.0,113.0,1.1,1.1,24.0,24.0,0.2,0.2,58.0,58.0,0.6,0.6,29.0,29.0,0.3,0.3,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2017",10818.0,10818.0,4651.0,4651.0,43.0,43.0,9841.0,9841.0,91.0,91.0,386.0,386.0,4.0,4.0,176.0,176.0,2.0,2.0,56.0,56.0,1.0,1.0,97.0,97.0,1.0,1.0,262.0,262.0,,,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2018",13224.0,13224.0,5238.0,5238.0,67.0,67.0,11869.0,11869.0,90.0,90.0,497.0,497.0,4.0,4.0,183.0,183.0,1.0,1.0,53.0,53.0,0.0,0.0,86.0,86.0,1.0,1.0,536.0,536.0,4.0,4.0,7837.0,7837.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2019",14371.0,14371.0,6115.0,6115.0,67.0,67.0,12959.0,12959.0,90.0,90.0,665.0,665.0,4.6,4.6,193.0,193.0,1.3,1.3,45.0,45.0,0.3,0.3,159.0,159.0,1.1,1.1,350.0,350.0,2.4,2.4,9060.0,9060.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2020",10966.0,10966.0,4558.0,4558.0,66.0,66.0,9658.0,9658.0,88.0,88.0,595.0,595.0,5.4,5.4,104.0,104.0,0.9,0.9,31.0,31.0,0.3,0.3,196.0,196.0,1.8,1.8,109.0,109.0,1.0,1.0,6956.0,6956.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2021",12142.0,12142.0,5018.0,5018.0,41.3,41.3,10662.0,10662.0,87.8,87.8,745.0,745.0,6.1,6.1,125.0,125.0,1.0,1.0,45.0,45.0,0.4,0.4,203.0,203.0,1.7,1.7,16.0,16.0,0.1,0.1,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2022",13919.0,13919.0,5731.0,5731.0,41.2,41.2,12129.0,12129.0,87.1,87.1,794.0,794.0,5.7,5.7,211.0,211.0,1.5,1.5,39.0,39.0,0.3,0.3,240.0,240.0,1.7,1.7,17.0,17.0,0.1,0.1,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2017",29481.0,29481.0,11368.0,11368.0,39.0,39.0,26093.0,26093.0,89.0,89.0,1130.0,1130.0,4.0,4.0,1011.0,1011.0,3.0,3.0,216.0,216.0,1.0,1.0,193.0,193.0,1.0,1.0,838.0,838.0,,,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2018",36764.0,36764.0,13271.0,13271.0,69.0,69.0,31786.0,31786.0,86.0,86.0,1533.0,1533.0,4.0,4.0,1255.0,1255.0,3.0,3.0,184.0,184.0,1.0,1.0,149.0,149.0,0.0,0.0,1857.0,1857.0,5.0,5.0,19100.0,19100.0
India,Punjab,3,"Calendar Year (Jan - Dec), 2019",38908.0,38908.0,13894.0,13894.0,61.0,61.0,31708.0,31708.0,81.0,81.0,1628.0,1628.0,4.2,4.2,1134.0,1134.0,2.9,2.9,190.0,190.0,0.5,0.5,321.0,321.0,0.8,0.8,3927.0,3927.0,10.1,10.1,22677.0,22677.0
India,Punjab,3,"Calendar Year (Jan - Dec), 2020",30938.0,30938.0,11041.0,11041.0,59.0,59.0,24883.0,24883.0,80.0,80.0,1592.0,1592.0,5.1,5.1,878.0,878.0,2.8,2.8,134.0,134.0,0.4,0.4,358.0,358.0,1.2,1.2,1217.0,1217.0,3.9,3.9,18562.0,18562.0
India,Punjab,3,"Calendar Year (Jan - Dec), 2021",34122.0,34122.0,11568.0,11568.0,33.9,33.9,28677.0,28677.0,84.0,84.0,1550.0,1550.0,4.5,4.5,935.0,935.0,2.7,2.7,217.0,217.0,0.6,0.6,308.0,308.0,0.9,0.9,287.0,287.0,0.8,0.8,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2022",40779.0,40779.0,13763.0,13763.0,33.8,33.8,35141.0,35141.0,86.2,86.2,1737.0,1737.0,4.3,4.3,1153.0,1153.0,2.8,2.8,168.0,168.0,0.4,0.4,258.0,258.0,0.6,0.6,383.0,383.0,0.9,0.9,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2017",2768.0,2768.0,947.0,947.0,34.0,34.0,2487.0,2487.0,90.0,90.0,77.0,77.0,3.0,3.0,86.0,86.0,3.0,3.0,9.0,9.0,0.0,0.0,20.0,20.0,1.0,1.0,89.0,89.0,,,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2018",2708.0,2708.0,775.0,775.0,67.0,67.0,2395.0,2395.0,88.0,88.0,75.0,75.0,3.0,3.0,69.0,69.0,3.0,3.0,15.0,15.0,1.0,1.0,21.0,21.0,1.0,1.0,133.0,133.0,5.0,5.0,1155.0,1155.0
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2019",2944.0,2944.0,914.0,914.0,67.0,67.0,2471.0,2471.0,84.0,84.0,89.0,89.0,3.0,3.0,109.0,109.0,3.7,3.7,18.0,18.0,0.6,0.6,34.0,34.0,1.2,1.2,223.0,223.0,7.6,7.6,1355.0,1355.0
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2020",2299.0,2299.0,759.0,759.0,71.0,71.0,1886.0,1886.0,82.0,82.0,104.0,104.0,4.5,4.5,87.0,87.0,3.8,3.8,13.0,13.0,0.6,0.6,44.0,44.0,1.9,1.9,36.0,36.0,1.6,1.6,1065.0,1065.0
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2021",2617.0,2617.0,871.0,871.0,33.3,33.3,2246.0,2246.0,85.8,85.8,89.0,89.0,3.4,3.4,78.0,78.0,3.0,3.0,20.0,20.0,0.8,0.8,57.0,57.0,2.2,2.2,13.0,13.0,0.5,0.5,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2022",2941.0,2941.0,967.0,967.0,32.9,32.9,2483.0,2483.0,84.4,84.4,113.0,113.0,3.8,3.8,84.0,84.0,2.9,2.9,21.0,21.0,0.7,0.7,49.0,49.0,1.7,1.7,7.0,7.0,0.2,0.2,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2017",10387.0,10387.0,3469.0,3469.0,33.0,33.0,8217.0,8217.0,79.0,79.0,309.0,309.0,3.0,3.0,530.0,530.0,5.0,5.0,102.0,102.0,1.0,1.0,66.0,66.0,1.0,1.0,1163.0,1163.0,,,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2018",13791.0,13791.0,4582.0,4582.0,71.0,71.0,11697.0,11697.0,85.0,85.0,507.0,507.0,4.0,4.0,593.0,593.0,4.0,4.0,76.0,76.0,1.0,1.0,124.0,124.0,1.0,1.0,794.0,794.0,6.0,6.0,6432.0,6432.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2019",17026.0,17026.0,5036.0,5036.0,65.0,65.0,14420.0,14420.0,85.0,85.0,670.0,670.0,3.9,3.9,565.0,565.0,3.3,3.3,91.0,91.0,0.5,0.5,264.0,264.0,1.6,1.6,1016.0,1016.0,6.0,6.0,7749.0,7749.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2020",13122.0,13122.0,3413.0,3413.0,59.0,59.0,11187.0,11187.0,85.0,85.0,494.0,494.0,3.8,3.8,349.0,349.0,2.7,2.7,55.0,55.0,0.4,0.4,253.0,253.0,1.9,1.9,177.0,177.0,1.3,1.3,5769.0,5769.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2021",16666.0,16666.0,4885.0,4885.0,29.3,29.3,14342.0,14342.0,86.1,86.1,673.0,673.0,4.0,4.0,406.0,406.0,2.4,2.4,127.0,127.0,0.8,0.8,217.0,217.0,1.3,1.3,84.0,84.0,0.5,0.5,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2022",19591.0,19591.0,6915.0,6915.0,35.3,35.3,17302.0,17302.0,88.3,88.3,750.0,750.0,3.8,3.8,486.0,486.0,2.5,2.5,158.0,158.0,0.8,0.8,230.0,230.0,1.2,1.2,35.0,35.0,0.2,0.2,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2017",28656.0,28656.0,12475.0,12475.0,44.0,44.0,24766.0,24766.0,86.0,86.0,1083.0,1083.0,4.0,4.0,805.0,805.0,3.0,3.0,340.0,340.0,1.0,1.0,206.0,206.0,1.0,1.0,1456.0,1456.0,,,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2018",39670.0,39670.0,17139.0,17139.0,75.0,75.0,34317.0,34317.0,87.0,87.0,1500.0,1500.0,4.0,4.0,1201.0,1201.0,3.0,3.0,377.0,377.0,1.0,1.0,221.0,221.0,1.0,1.0,2054.0,2054.0,5.0,5.0,22882.0,22882.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2019",45235.0,45235.0,18627.0,18627.0,67.0,67.0,37354.0,37354.0,83.0,83.0,1768.0,1768.0,3.9,3.9,1172.0,1172.0,2.6,2.6,292.0,292.0,0.6,0.6,236.0,236.0,0.5,0.5,4413.0,4413.0,9.8,9.8,27701.0,27701.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2020",38386.0,38386.0,14301.0,14301.0,61.0,61.0,30810.0,30810.0,80.0,80.0,1532.0,1532.0,4.0,4.0,840.0,840.0,2.2,2.2,211.0,211.0,0.5,0.5,361.0,361.0,0.9,0.9,974.0,974.0,2.5,2.5,23455.0,23455.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2021",43430.0,43430.0,17292.0,17292.0,39.8,39.8,36358.0,36358.0,83.7,83.7,1903.0,1903.0,4.4,4.4,792.0,792.0,1.8,1.8,249.0,249.0,0.6,0.6,452.0,452.0,1.0,1.0,571.0,571.0,1.3,1.3,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2022",50811.0,50811.0,21604.0,21604.0,42.5,42.5,44781.0,44781.0,88.1,88.1,2139.0,2139.0,4.2,4.2,683.0,683.0,1.3,1.3,298.0,298.0,0.6,0.6,528.0,528.0,1.0,1.0,135.0,135.0,0.3,0.3,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2017",48430.0,48430.0,10529.0,10529.0,22.0,22.0,36327.0,36327.0,75.0,75.0,683.0,683.0,1.0,1.0,1678.0,1678.0,3.0,3.0,336.0,336.0,1.0,1.0,357.0,357.0,1.0,1.0,9049.0,9049.0,,,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2018",53381.0,53381.0,11900.0,11900.0,58.0,58.0,41249.0,41249.0,77.0,77.0,841.0,841.0,2.0,2.0,1964.0,1964.0,4.0,4.0,346.0,346.0,1.0,1.0,471.0,471.0,1.0,1.0,8510.0,8510.0,16.0,16.0,20653.0,20653.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2019",58001.0,58001.0,12980.0,12980.0,51.0,51.0,44558.0,44558.0,77.0,77.0,928.0,928.0,1.6,1.6,2479.0,2479.0,4.3,4.3,330.0,330.0,0.6,0.6,983.0,983.0,1.7,1.7,8723.0,8723.0,15.0,15.0,25562.0,25562.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2020",46905.0,46905.0,10398.0,10398.0,48.0,48.0,35304.0,35304.0,75.0,75.0,1015.0,1015.0,2.2,2.2,2121.0,2121.0,4.5,4.5,251.0,251.0,0.5,0.5,1164.0,1164.0,2.5,2.5,1133.0,1133.0,2.4,2.4,21782.0,21782.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2021",55689.0,55689.0,12563.0,12563.0,22.6,22.6,43502.0,43502.0,78.1,78.1,1270.0,1270.0,2.3,2.3,2629.0,2629.0,4.7,4.7,382.0,382.0,0.7,0.7,1143.0,1143.0,2.1,2.1,772.0,772.0,1.4,1.4,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2022",62992.0,62992.0,14520.0,14520.0,23.1,23.1,51127.0,51127.0,81.2,81.2,1334.0,1334.0,2.1,2.1,2726.0,2726.0,4.3,4.3,377.0,377.0,0.6,0.6,1459.0,1459.0,2.3,2.3,296.0,296.0,0.5,0.5,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2017",65681.0,65681.0,27427.0,27427.0,42.0,42.0,56941.0,56941.0,87.0,87.0,1829.0,1829.0,3.0,3.0,2286.0,2286.0,3.0,3.0,434.0,434.0,1.0,1.0,275.0,275.0,0.0,0.0,3916.0,3916.0,,,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2018",88709.0,88709.0,32893.0,32893.0,68.0,68.0,73749.0,73749.0,83.0,83.0,2660.0,2660.0,3.0,3.0,2807.0,2807.0,3.0,3.0,459.0,459.0,1.0,1.0,309.0,309.0,0.0,0.0,8725.0,8725.0,10.0,10.0,48542.0,48542.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2019",101099.0,101099.0,38095.0,38095.0,63.0,63.0,84060.0,84060.0,83.0,83.0,3092.0,3092.0,3.1,3.1,3206.0,3206.0,3.2,3.2,484.0,484.0,0.5,0.5,808.0,808.0,0.8,0.8,9449.0,9449.0,9.3,9.3,60039.0,60039.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2020",77611.0,77611.0,29005.0,29005.0,68.0,68.0,64712.0,64712.0,83.0,83.0,2586.0,2586.0,3.3,3.3,2204.0,2204.0,2.8,2.8,353.0,353.0,0.5,0.5,1017.0,1017.0,1.3,1.3,1069.0,1069.0,1.4,1.4,42959.0,42959.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2021",87692.0,87692.0,29416.0,29416.0,33.5,33.5,74832.0,74832.0,85.3,85.3,2904.0,2904.0,3.3,3.3,2412.0,2412.0,2.8,2.8,431.0,431.0,0.5,0.5,1044.0,1044.0,1.2,1.2,658.0,658.0,0.8,0.8,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2022",109802.0,109802.0,38419.0,38419.0,35.0,35.0,98154.0,98154.0,89.4,89.4,3359.0,3359.0,3.1,3.1,2319.0,2319.0,2.1,2.1,459.0,459.0,0.4,0.4,979.0,979.0,0.9,0.9,209.0,209.0,0.2,0.2,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2017",185831.0,185831.0,64072.0,64072.0,34.0,34.0,130299.0,130299.0,70.0,70.0,5763.0,5763.0,3.0,3.0,7383.0,7383.0,4.0,4.0,1284.0,1284.0,1.0,1.0,1112.0,1112.0,1.0,1.0,39990.0,39990.0,,,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2018",259848.0,259848.0,94752.0,94752.0,67.0,67.0,219278.0,219278.0,84.0,84.0,8953.0,8953.0,3.0,3.0,10901.0,10901.0,4.0,4.0,1685.0,1685.0,1.0,1.0,1624.0,1624.0,1.0,1.0,17407.0,17407.0,7.0,7.0,140832.0,140832.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2019",300235.0,300235.0,96095.0,96095.0,60.0,60.0,249603.0,249603.0,83.0,83.0,10180.0,10180.0,3.4,3.4,12539.0,12539.0,4.2,4.2,1837.0,1837.0,0.6,0.6,3236.0,3236.0,1.1,1.1,22840.0,22840.0,7.6,7.6,159838.0,159838.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2020",224050.0,224050.0,61417.0,61417.0,60.0,60.0,187420.0,187420.0,84.0,84.0,8300.0,8300.0,3.7,3.7,6999.0,6999.0,3.1,3.1,1214.0,1214.0,0.5,0.5,2915.0,2915.0,1.3,1.3,2019.0,2019.0,0.9,0.9,102861.0,102861.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2021",298133.0,298133.0,86807.0,86807.0,29.1,29.1,256647.0,256647.0,86.1,86.1,10773.0,10773.0,3.6,3.6,6804.0,6804.0,2.3,2.3,1419.0,1419.0,0.5,0.5,3819.0,3819.0,1.3,1.3,1495.0,1495.0,0.5,0.5,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2022",359764.0,359764.0,107762.0,107762.0,30.0,30.0,324415.0,324415.0,90.2,90.2,11324.0,11324.0,3.1,3.1,5108.0,5108.0,1.4,1.4,1481.0,1481.0,0.4,0.4,4165.0,4165.0,1.2,1.2,617.0,617.0,0.2,0.2,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2017",45345.0,45345.0,16699.0,16699.0,37.0,37.0,33256.0,33256.0,73.0,73.0,896.0,896.0,2.0,2.0,1746.0,1746.0,4.0,4.0,214.0,214.0,0.0,0.0,166.0,166.0,0.0,0.0,9067.0,9067.0,,,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2018",56614.0,56614.0,22487.0,22487.0,65.0,65.0,45854.0,45854.0,81.0,81.0,1286.0,1286.0,2.0,2.0,2584.0,2584.0,5.0,5.0,334.0,334.0,1.0,1.0,237.0,237.0,0.0,0.0,6319.0,6319.0,11.0,11.0,34853.0,34853.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2019",67569.0,67569.0,24814.0,24814.0,61.0,61.0,52075.0,52075.0,77.0,77.0,1569.0,1569.0,2.3,2.3,2451.0,2451.0,3.6,3.6,323.0,323.0,0.5,0.5,485.0,485.0,0.7,0.7,10666.0,10666.0,15.8,15.8,40611.0,40611.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2020",45824.0,45824.0,12260.0,12260.0,47.0,47.0,34221.0,34221.0,75.0,75.0,1127.0,1127.0,2.5,2.5,1804.0,1804.0,3.9,3.9,247.0,247.0,0.5,0.5,519.0,519.0,1.1,1.1,3019.0,3019.0,6.6,6.6,25850.0,25850.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2021",54765.0,54765.0,13860.0,13860.0,25.3,25.3,41914.0,41914.0,76.5,76.5,1432.0,1432.0,2.6,2.6,2284.0,2284.0,4.2,4.2,304.0,304.0,0.6,0.6,696.0,696.0,1.3,1.3,2197.0,2197.0,4.0,4.0,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2022",67765.0,67765.0,17830.0,17830.0,26.3,26.3,56458.0,56458.0,83.3,83.3,1617.0,1617.0,2.4,2.4,2527.0,2527.0,3.7,3.7,410.0,410.0,0.6,0.6,1035.0,1035.0,1.5,1.5,1036.0,1036.0,1.5,1.5,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2017",829.0,829.0,242.0,242.0,29.0,29.0,651.0,651.0,79.0,79.0,20.0,20.0,2.0,2.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,30.0,30.0,4.0,4.0,123.0,123.0,,,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2018",1164.0,1164.0,355.0,355.0,58.0,58.0,989.0,989.0,85.0,85.0,27.0,27.0,2.0,2.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,9.0,9.0,1.0,1.0,131.0,131.0,11.0,11.0,610.0,610.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2019",1054.0,1054.0,378.0,378.0,73.0,73.0,940.0,940.0,89.0,89.0,37.0,37.0,3.5,3.5,9.0,9.0,0.9,0.9,6.0,6.0,0.6,0.6,11.0,11.0,1.0,1.0,51.0,51.0,4.8,4.8,517.0,517.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2020",944.0,944.0,363.0,363.0,67.0,67.0,852.0,852.0,90.0,90.0,39.0,39.0,4.1,4.1,7.0,7.0,0.7,0.7,1.0,1.0,0.1,0.1,16.0,16.0,1.7,1.7,14.0,14.0,1.5,1.5,541.0,541.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2021",986.0,986.0,426.0,426.0,43.2,43.2,869.0,869.0,88.1,88.1,39.0,39.0,4.0,4.0,13.0,13.0,1.3,1.3,2.0,2.0,0.2,0.2,20.0,20.0,2.0,2.0,6.0,6.0,0.6,0.6,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2022",1020.0,1020.0,508.0,508.0,49.8,49.8,940.0,940.0,92.2,92.2,33.0,33.0,3.2,3.2,6.0,6.0,0.6,0.6,3.0,3.0,0.3,0.3,11.0,11.0,1.1,1.1,2.0,2.0,0.2,0.2,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2017",2693.0,2693.0,702.0,702.0,26.0,26.0,1997.0,1997.0,74.0,74.0,46.0,46.0,2.0,2.0,139.0,139.0,5.0,5.0,41.0,41.0,2.0,2.0,80.0,80.0,3.0,3.0,390.0,390.0,,,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2018",2560.0,2560.0,742.0,742.0,80.0,80.0,2119.0,2119.0,83.0,83.0,47.0,47.0,2.0,2.0,135.0,135.0,5.0,5.0,41.0,41.0,2.0,2.0,51.0,51.0,2.0,2.0,167.0,167.0,7.0,7.0,926.0,926.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2019",2429.0,2429.0,887.0,887.0,78.0,78.0,2041.0,2041.0,84.0,84.0,55.0,55.0,2.3,2.3,175.0,175.0,7.2,7.2,27.0,27.0,1.1,1.1,53.0,53.0,2.2,2.2,78.0,78.0,3.2,3.2,1131.0,1131.0
